_id	model.x	model.y	BNCweighting	FirstOrderWeighting	ContextWindow	SecondOrderWindow	SecondOrderScore	stress
air.n.10-10.weightsNONE.10-10.diceM	-8.26880160793806	-1.8679177432629	none	none	L10-R10	L10-R10	diceM	22.99
air.n.10-10.weightsNONE.10-10.LLR	-7.92358559843325	-3.33191075204045	none	none	L10-R10	L10-R10	LLR	27.27
air.n.10-10.weightsNONE.10-10.pospmi	-2.32530628948808	-0.532665552415096	none	none	L10-R10	L10-R10	pospmi	21.38
air.n.10-10.weightsNONE.10-10.tScore	-4.48271776023642	-1.5665724700304	none	none	L10-R10	L10-R10	tScore	25.2
air.n.10-10.weightsNONE.2-2.diceM	-6.38733502427112	-6.530920727653	none	none	L10-R10	L2-R2	diceM	26.17
air.n.10-10.weightsNONE.2-2.LLR	-12.6196745738665	13.2195397228616	none	none	L10-R10	L2-R2	LLR	41.67
air.n.10-10.weightsNONE.2-2.pospmi	-2.34632403766047	-0.0404196906602549	none	none	L10-R10	L2-R2	pospmi	23.3
air.n.10-10.weightsNONE.2-2.tScore	-6.56815037990429	-3.5597833216983	none	none	L10-R10	L2-R2	tScore	31.64
air.n.10-10.weightsNONE.4-4.diceM	-7.79633206302137	-0.846830843966342	none	none	L10-R10	L4-R4	diceM	25.11
air.n.10-10.weightsNONE.4-4.LLR	4.66977838733275	17.1369415484752	none	none	L10-R10	L4-R4	LLR	41.65
air.n.10-10.weightsNONE.4-4.pospmi	-2.1236429433991	-1.00251051326023	none	none	L10-R10	L4-R4	pospmi	24.7
air.n.10-10.weightsNONE.4-4.tScore	-4.80605238124841	-1.73586561591945	none	none	L10-R10	L4-R4	tScore	26.08
air.n.10-10.weightsNONE.7-7.diceM	-7.6982499854367	-0.594959396745805	none	none	L10-R10	L7-R7	diceM	23.08
air.n.10-10.weightsNONE.7-7.LLR	-7.59585609869775	-5.3253348529364	none	none	L10-R10	L7-R7	LLR	28.68
air.n.10-10.weightsNONE.7-7.pospmi	-2.16065250324962	-0.130345502425953	none	none	L10-R10	L7-R7	pospmi	22.34
air.n.10-10.weightsNONE.7-7.tScore	-4.19862861206443	-1.47466824553886	none	none	L10-R10	L7-R7	tScore	25.94
air.n.20-20.weightsNONE.10-10.diceM	-5.08665634651235	-3.4154847918208	none	none	L20-R20	L10-R10	diceM	21.41
air.n.20-20.weightsNONE.10-10.LLR	-4.22887361437547	-5.96684838790576	none	none	L20-R20	L10-R10	LLR	28.46
air.n.20-20.weightsNONE.10-10.pospmi	-2.03054781366546	-1.67114908265057	none	none	L20-R20	L10-R10	pospmi	22.25
air.n.20-20.weightsNONE.10-10.tScore	-5.55286005704621	-3.85929584545027	none	none	L20-R20	L10-R10	tScore	23.97
air.n.20-20.weightsNONE.2-2.diceM	-2.82921276711632	-6.38178225272125	none	none	L20-R20	L2-R2	diceM	25.69
air.n.20-20.weightsNONE.2-2.LLR	-5.11672913933146	-6.5311265021783	none	none	L20-R20	L2-R2	LLR	33.61
air.n.20-20.weightsNONE.2-2.pospmi	-2.20843721319575	-0.979645120616798	none	none	L20-R20	L2-R2	pospmi	24.62
air.n.20-20.weightsNONE.2-2.tScore	-5.06484553328226	-4.31027579796037	none	none	L20-R20	L2-R2	tScore	29.28
air.n.20-20.weightsNONE.4-4.diceM	-2.9149636682394	-4.85226833847606	none	none	L20-R20	L4-R4	diceM	24.56
air.n.20-20.weightsNONE.4-4.LLR	-6.81774276740907	-3.82839255136747	none	none	L20-R20	L4-R4	LLR	31.63
air.n.20-20.weightsNONE.4-4.pospmi	-2.21011290271035	-1.66463308283705	none	none	L20-R20	L4-R4	pospmi	22.45
air.n.20-20.weightsNONE.4-4.tScore	-4.44139008450839	-4.42726468108415	none	none	L20-R20	L4-R4	tScore	26.62
air.n.20-20.weightsNONE.7-7.diceM	-2.39292146859158	-5.17914619067363	none	none	L20-R20	L7-R7	diceM	22.88
air.n.20-20.weightsNONE.7-7.LLR	-6.30073110651284	-5.09983690546113	none	none	L20-R20	L7-R7	LLR	30.4
air.n.20-20.weightsNONE.7-7.pospmi	-1.86750959805718	-1.63073743112453	none	none	L20-R20	L7-R7	pospmi	22.6
air.n.20-20.weightsNONE.7-7.tScore	-3.66887621626846	-2.84917668292097	none	none	L20-R20	L7-R7	tScore	24.15
air.n.40-40.weightsNONE.10-10.diceM	-2.65514126582	-5.21500694605814	none	none	L40-R40	L10-R10	diceM	20.61
air.n.40-40.weightsNONE.10-10.LLR	-3.96497164316636	-7.06961574734234	none	none	L40-R40	L10-R10	LLR	28.97
air.n.40-40.weightsNONE.10-10.pospmi	-1.69981481868427	-2.97238500520112	none	none	L40-R40	L10-R10	pospmi	22.52
air.n.40-40.weightsNONE.10-10.tScore	-3.95808235868531	-4.47670376651558	none	none	L40-R40	L10-R10	tScore	20.84
air.n.40-40.weightsNONE.2-2.diceM	-4.26143854843549	-7.8532300306876	none	none	L40-R40	L2-R2	diceM	25.54
air.n.40-40.weightsNONE.2-2.LLR	-3.6615961324904	-9.58746109223283	none	none	L40-R40	L2-R2	LLR	33.3
air.n.40-40.weightsNONE.2-2.pospmi	-1.64354161559064	-2.47594628625001	none	none	L40-R40	L2-R2	pospmi	23.55
air.n.40-40.weightsNONE.2-2.tScore	-3.1969522068673	-4.95705436730874	none	none	L40-R40	L2-R2	tScore	29.5
air.n.40-40.weightsNONE.4-4.diceM	-2.63770036118848	-6.11969028513761	none	none	L40-R40	L4-R4	diceM	23.63
air.n.40-40.weightsNONE.4-4.LLR	-6.50684514692646	-7.74558505684723	none	none	L40-R40	L4-R4	LLR	32.28
air.n.40-40.weightsNONE.4-4.pospmi	-1.99677192706141	-2.75587138821706	none	none	L40-R40	L4-R4	pospmi	22.26
air.n.40-40.weightsNONE.4-4.tScore	-3.22819741530198	-4.70152127397181	none	none	L40-R40	L4-R4	tScore	24.84
air.n.40-40.weightsNONE.7-7.diceM	-1.69868947711688	-4.69233649987319	none	none	L40-R40	L7-R7	diceM	22.18
air.n.40-40.weightsNONE.7-7.LLR	-4.47034160623884	-7.28655668904641	none	none	L40-R40	L7-R7	LLR	29.84
air.n.40-40.weightsNONE.7-7.pospmi	-1.1120418010435	-2.95663233776316	none	none	L40-R40	L7-R7	pospmi	21.7
air.n.40-40.weightsNONE.7-7.tScore	-3.29316402530938	-3.94346180947917	none	none	L40-R40	L7-R7	tScore	22.22
air.n.10-10.weightsBNC-2-2pospmi.10-10.diceM	2.6358525126199	8.05044236456627	BNC-2-2pospmi	BNC	L10-R10	L10-R10	diceM	23.17
air.n.10-10.weightsBNC-2-2pospmi.10-10.LLR	-0.836119984552038	4.22705133481603	BNC-2-2pospmi	BNC	L10-R10	L10-R10	LLR	27.46
air.n.10-10.weightsBNC-2-2pospmi.10-10.pospmi	2.20424907589016	4.73686619957082	BNC-2-2pospmi	BNC	L10-R10	L10-R10	pospmi	22.7
air.n.10-10.weightsBNC-2-2pospmi.10-10.tScore	0.24349647516838	4.29602382959636	BNC-2-2pospmi	BNC	L10-R10	L10-R10	tScore	25.05
air.n.10-10.weightsBNC-2-2pospmi.2-2.diceM	-3.40146749640297	5.9412327173019	BNC-2-2pospmi	BNC	L10-R10	L2-R2	diceM	26.85
air.n.10-10.weightsBNC-2-2pospmi.2-2.LLR	-2.20711110144977	5.65023548608151	BNC-2-2pospmi	BNC	L10-R10	L2-R2	LLR	31.55
air.n.10-10.weightsBNC-2-2pospmi.2-2.pospmi	3.37711101110927	4.57294513001444	BNC-2-2pospmi	BNC	L10-R10	L2-R2	pospmi	26.14
air.n.10-10.weightsBNC-2-2pospmi.2-2.tScore	0.356269725723098	5.01407054718242	BNC-2-2pospmi	BNC	L10-R10	L2-R2	tScore	28.35
air.n.10-10.weightsBNC-2-2pospmi.4-4.diceM	3.09160341610993	6.79183965919694	BNC-2-2pospmi	BNC	L10-R10	L4-R4	diceM	24.97
air.n.10-10.weightsBNC-2-2pospmi.4-4.LLR	-1.04573133524582	4.93763759753218	BNC-2-2pospmi	BNC	L10-R10	L4-R4	LLR	29.76
air.n.10-10.weightsBNC-2-2pospmi.4-4.pospmi	1.62079824784028	4.78337934553781	BNC-2-2pospmi	BNC	L10-R10	L4-R4	pospmi	23.69
air.n.10-10.weightsBNC-2-2pospmi.4-4.tScore	0.305760848059289	4.82078608472838	BNC-2-2pospmi	BNC	L10-R10	L4-R4	tScore	27.07
air.n.10-10.weightsBNC-2-2pospmi.7-7.diceM	2.81878984428969	6.0562624230887	BNC-2-2pospmi	BNC	L10-R10	L7-R7	diceM	22.89
air.n.10-10.weightsBNC-2-2pospmi.7-7.LLR	-0.912916968041162	3.81714711046685	BNC-2-2pospmi	BNC	L10-R10	L7-R7	LLR	28.38
air.n.10-10.weightsBNC-2-2pospmi.7-7.pospmi	1.26361697880019	5.05583751255104	BNC-2-2pospmi	BNC	L10-R10	L7-R7	pospmi	23.61
air.n.10-10.weightsBNC-2-2pospmi.7-7.tScore	0.168847931361534	3.06294943745753	BNC-2-2pospmi	BNC	L10-R10	L7-R7	tScore	25.82
air.n.10-10.weightsBNC-4-4pospmi.10-10.diceM	5.52362328034273	4.734665019099	BNC-4-4pospmi	BNC	L10-R10	L10-R10	diceM	19.82
air.n.10-10.weightsBNC-4-4pospmi.10-10.LLR	-0.314767590463028	3.47338328956032	BNC-4-4pospmi	BNC	L10-R10	L10-R10	LLR	26.27
air.n.10-10.weightsBNC-4-4pospmi.10-10.pospmi	1.97540092042898	3.48770421941014	BNC-4-4pospmi	BNC	L10-R10	L10-R10	pospmi	22.09
air.n.10-10.weightsBNC-4-4pospmi.10-10.tScore	0.390915568722876	3.32993485541899	BNC-4-4pospmi	BNC	L10-R10	L10-R10	tScore	24.12
air.n.10-10.weightsBNC-4-4pospmi.2-2.diceM	2.79775189747767	5.15374530502104	BNC-4-4pospmi	BNC	L10-R10	L2-R2	diceM	25.61
air.n.10-10.weightsBNC-4-4pospmi.2-2.LLR	-0.821334305796731	5.3075895836639	BNC-4-4pospmi	BNC	L10-R10	L2-R2	LLR	31.15
air.n.10-10.weightsBNC-4-4pospmi.2-2.pospmi	2.10294295594944	3.6416952252318	BNC-4-4pospmi	BNC	L10-R10	L2-R2	pospmi	24.26
air.n.10-10.weightsBNC-4-4pospmi.2-2.tScore	0.078209372355682	3.85892885160559	BNC-4-4pospmi	BNC	L10-R10	L2-R2	tScore	28.92
