_id	model.x	model.y	contextWindow	FirstOrderWeighting	BNCweighting	SecondOrderWindow	SecondOrderScore	stress
apply.v.10-10.weightsNONE.10-10.diceM	-0.0516608270075	0.513962633761	L10-R10	weightsNONE	none	L10-R10	diceM	17.76
apply.v.10-10.weightsNONE.10-10.dir_lik_stat	0.916042808716	0.705016084169	L10-R10	weightsNONE	none	L10-R10	dir_lik_stat	27.39
apply.v.10-10.weightsNONE.10-10.pospmi	0.503842839553	-0.269329147332	L10-R10	weightsNONE	none	L10-R10	pospmi	19.53
apply.v.10-10.weightsNONE.10-10.tScore	-0.00641049107717	0.248769737809	L10-R10	weightsNONE	none	L10-R10	tScore	23.80
apply.v.10-10.weightsNONE.2-2.diceM	0.272906670528	0.164477443237	L10-R10	weightsNONE	none	L2-R2	diceM	19.37
apply.v.10-10.weightsNONE.2-2.dir_lik_stat	0.424678203982	0.76088418771	L10-R10	weightsNONE	none	L2-R2	dir_lik_stat	33.70
apply.v.10-10.weightsNONE.2-2.pospmi	0.0904001462235	-0.0463615616385	L10-R10	weightsNONE	none	L2-R2	pospmi	22.19
apply.v.10-10.weightsNONE.2-2.tScore	0.852639291296	0.829733232893	L10-R10	weightsNONE	none	L2-R2	tScore	30.66
apply.v.10-10.weightsNONE.4-4.diceM	0.123660417331	0.0237277284557	L10-R10	weightsNONE	none	L4-R4	diceM	17.43
apply.v.10-10.weightsNONE.4-4.dir_lik_stat	0.335041798642	0.688650285807	L10-R10	weightsNONE	none	L4-R4	dir_lik_stat	30.95
apply.v.10-10.weightsNONE.4-4.pospmi	0.629419326687	-0.205724015552	L10-R10	weightsNONE	none	L4-R4	pospmi	21.51
apply.v.10-10.weightsNONE.4-4.tScore	0.0219157313218	0.425219825837	L10-R10	weightsNONE	none	L4-R4	tScore	26.39
apply.v.10-10.weightsNONE.7-7.diceM	0.962004447453	0.150804886606	L10-R10	weightsNONE	none	L7-R7	diceM	18.04
apply.v.10-10.weightsNONE.7-7.dir_lik_stat	0.811522202454	0.730386404747	L10-R10	weightsNONE	none	L7-R7	dir_lik_stat	28.28
apply.v.10-10.weightsNONE.7-7.pospmi	-0.240202510934	0.47736162689	L10-R10	weightsNONE	none	L7-R7	pospmi	21.31
apply.v.10-10.weightsNONE.7-7.tScore	0.848214766615	1.02580199622	L10-R10	weightsNONE	none	L7-R7	tScore	24.57
apply.v.20-20.weightsNONE.10-10.diceM	0.351444212135	0.173952017729	L20-R20	weightsNONE	none	L10-R10	diceM	20.51
apply.v.20-20.weightsNONE.10-10.dir_lik_stat	0.577822394849	0.205964295916	L20-R20	weightsNONE	none	L10-R10	dir_lik_stat	31.69
apply.v.20-20.weightsNONE.10-10.pospmi	0.0979807360817	1.08136685579	L20-R20	weightsNONE	none	L10-R10	pospmi	18.86
apply.v.20-20.weightsNONE.10-10.tScore	0.172843449915	-0.0719226079442	L20-R20	weightsNONE	none	L10-R10	tScore	23.61
apply.v.20-20.weightsNONE.2-2.diceM	0.464295190939	0.543354322589	L20-R20	weightsNONE	none	L2-R2	diceM	21.20
apply.v.20-20.weightsNONE.2-2.dir_lik_stat	0.423201287727	0.505053075059	L20-R20	weightsNONE	none	L2-R2	dir_lik_stat	34.00
apply.v.20-20.weightsNONE.2-2.pospmi	0.414169725495	1.14368354159	L20-R20	weightsNONE	none	L2-R2	pospmi	22.34
apply.v.20-20.weightsNONE.2-2.tScore	0.873871975661	0.358977604922	L20-R20	weightsNONE	none	L2-R2	tScore	30.91
apply.v.20-20.weightsNONE.4-4.diceM	0.617598034885	0.346110078951	L20-R20	weightsNONE	none	L4-R4	diceM	19.08
apply.v.20-20.weightsNONE.4-4.dir_lik_stat	0.532132731264	0.496478559805	L20-R20	weightsNONE	none	L4-R4	dir_lik_stat	41.33
apply.v.20-20.weightsNONE.4-4.pospmi	1.09821306404	-0.0189301004091	L20-R20	weightsNONE	none	L4-R4	pospmi	20.24
apply.v.20-20.weightsNONE.4-4.tScore	1.02522161526	1.01685575547	L20-R20	weightsNONE	none	L4-R4	tScore	27.00
apply.v.20-20.weightsNONE.7-7.diceM	0.644667494111	0.926524816134	L20-R20	weightsNONE	none	L7-R7	diceM	20.01
apply.v.20-20.weightsNONE.7-7.dir_lik_stat	0.763169070889	0.812378726184	L20-R20	weightsNONE	none	L7-R7	dir_lik_stat	29.66
apply.v.20-20.weightsNONE.7-7.pospmi	0.875924344537	1.14712482907	L20-R20	weightsNONE	none	L7-R7	pospmi	19.79
apply.v.20-20.weightsNONE.7-7.tScore	1.10613824149	0.0670610130721	L20-R20	weightsNONE	none	L7-R7	tScore	25.47
apply.v.40-40.weightsNONE.10-10.diceM	-0.0969015048482	0.652083903415	L40-R40	weightsNONE	none	L10-R10	diceM	17.60
