_id	model.x	model.y	contextWindow	FirstOrderWeighting	BNCweighting	SecondOrderWindow	SecondOrderScore	stress
body.n.10-10.weightsNONE.10-10.diceM	0.156304693653	0.71737445572	L10-R10	weightsNONE	none	L10-R10	diceM	19.38
body.n.10-10.weightsNONE.10-10.LLR	0.814568320802	0.390988644172	L10-R10	weightsNONE	none	L10-R10	dir_lik_stat	28.80
body.n.10-10.weightsNONE.10-10.pospmi	0.61430643874	0.910850066934	L10-R10	weightsNONE	none	L10-R10	pospmi	21.80
body.n.10-10.weightsNONE.10-10.tScore	0.509396884221	0.472668227112	L10-R10	weightsNONE	none	L10-R10	tScore	41.72
body.n.10-10.weightsNONE.2-2.diceM	0.756630121483	0.556575445813	L10-R10	weightsNONE	none	L2-R2	diceM	23.02
body.n.10-10.weightsNONE.2-2.LLR	0.41360075214	0.479269966137	L10-R10	weightsNONE	none	L2-R2	dir_lik_stat	41.68
body.n.10-10.weightsNONE.2-2.pospmi	0.735283387599	0.198950212951	L10-R10	weightsNONE	none	L2-R2	pospmi	24.70
body.n.10-10.weightsNONE.2-2.tScore	0.263075532054	0.828471044469	L10-R10	weightsNONE	none	L2-R2	tScore	30.68
body.n.10-10.weightsNONE.4-4.diceM	0.573000434572	0.626691605075	L10-R10	weightsNONE	none	L4-R4	diceM	21.74
body.n.10-10.weightsNONE.4-4.LLR	0.589054750204	0.529043360917	L10-R10	weightsNONE	none	L4-R4	dir_lik_stat	41.60
body.n.10-10.weightsNONE.4-4.pospmi	0.86345217424	0.833673808698	L10-R10	weightsNONE	none	L4-R4	pospmi	23.07
body.n.10-10.weightsNONE.4-4.tScore	0.481060042333	0.647134110384	L10-R10	weightsNONE	none	L4-R4	tScore	41.60
body.n.10-10.weightsNONE.7-7.diceM	0.763710704707	0.293372963189	L10-R10	weightsNONE	none	L7-R7	diceM	19.84
body.n.10-10.weightsNONE.7-7.LLR	0.446067497515	0.561030325562	L10-R10	weightsNONE	none	L7-R7	dir_lik_stat	41.71
body.n.10-10.weightsNONE.7-7.pospmi	1.00631537567	0.383200082926	L10-R10	weightsNONE	none	L7-R7	pospmi	22.80
body.n.10-10.weightsNONE.7-7.tScore	0.526148625579	0.578200159656	L10-R10	weightsNONE	none	L7-R7	tScore	41.70
body.n.20-20.weightsNONE.10-10.diceM	0.112851461286	0.106142235202	L20-R20	weightsNONE	none	L10-R10	diceM	19.07
body.n.20-20.weightsNONE.10-10.LLR	0.454992637626	0.48934183283	L20-R20	weightsNONE	none	L10-R10	dir_lik_stat	41.70
body.n.20-20.weightsNONE.10-10.pospmi	0.979689681555	0.94825984548	L20-R20	weightsNONE	none	L10-R10	pospmi	22.39
body.n.20-20.weightsNONE.10-10.tScore	-0.0797315602	0.375090415549	L20-R20	weightsNONE	none	L10-R10	tScore	23.37
body.n.20-20.weightsNONE.2-2.diceM	0.597870864511	0.236573253637	L20-R20	weightsNONE	none	L2-R2	diceM	20.35
body.n.20-20.weightsNONE.2-2.LLR	0.473336358793	0.588280345544	L20-R20	weightsNONE	none	L2-R2	dir_lik_stat	41.64
body.n.20-20.weightsNONE.2-2.pospmi	-0.107896556517	0.609895922974	L20-R20	weightsNONE	none	L2-R2	pospmi	23.56
body.n.20-20.weightsNONE.2-2.tScore	0.572171278119	0.138356631364	L20-R20	weightsNONE	none	L2-R2	tScore	29.70
body.n.20-20.weightsNONE.4-4.diceM	0.753966906991	0.431825497816	L20-R20	weightsNONE	none	L4-R4	diceM	19.11
body.n.20-20.weightsNONE.4-4.LLR	0.434221609828	0.598835373356	L20-R20	weightsNONE	none	L4-R4	dir_lik_stat	41.65
body.n.20-20.weightsNONE.4-4.pospmi	0.369828328095	-0.0732277625156	L20-R20	weightsNONE	none	L4-R4	pospmi	22.20
body.n.20-20.weightsNONE.4-4.tScore	-0.0431276528361	0.394450290472	L20-R20	weightsNONE	none	L4-R4	tScore	27.58
body.n.20-20.weightsNONE.7-7.diceM	0.48315176854	0.215657003433	L20-R20	weightsNONE	none	L7-R7	diceM	19.25
body.n.20-20.weightsNONE.7-7.LLR	0.484996109231	0.373768271377	L20-R20	weightsNONE	none	L7-R7	dir_lik_stat	41.57
body.n.20-20.weightsNONE.7-7.pospmi	0.0722874577221	1.04389455729	L20-R20	weightsNONE	none	L7-R7	pospmi	21.64
body.n.20-20.weightsNONE.7-7.tScore	0.424968225788	0.433479746028	L20-R20	weightsNONE	none	L7-R7	tScore	41.61
body.n.40-40.weightsNONE.10-10.diceM	0.518472756915	-0.0827740995046	L40-R40	weightsNONE	none	L10-R10	diceM	17.81
body.n.40-40.weightsNONE.10-10.LLR	0.66728808787	0.772124023023	L40-R40	weightsNONE	none	L10-R10	dir_lik_stat	30.58
body.n.40-40.weightsNONE.10-10.pospmi	-0.162724983518	0.448876705858	L40-R40	weightsNONE	none	L10-R10	pospmi	19.03
body.n.40-40.weightsNONE.10-10.tScore	0.319890944022	-0.200893556157	L40-R40	weightsNONE	none	L10-R10	tScore	22.49
body.n.40-40.weightsNONE.2-2.diceM	0.889276807474	0.383725509009	L40-R40	weightsNONE	none	L2-R2	diceM	19.87
body.n.40-40.weightsNONE.2-2.LLR	0.441716415528	0.531052260351	L40-R40	weightsNONE	none	L2-R2	dir_lik_stat	35.42
body.n.40-40.weightsNONE.2-2.pospmi	1.12394695614	0.447284866502	L40-R40	weightsNONE	none	L2-R2	pospmi	21.16
