_id	model.x	model.y	contextWindow	FirstOrderWeighting	BNCweighting	SecondOrderWindow	SecondOrderScore	stress
campaign.n.10-10.weightsNONE.10-10.diceM	-8.30294109779	-5.92531518506	L10-R10	weightsNONE	none	L10-R10	diceM	18.81
campaign.n.10-10.weightsNONE.10-10.LLR	-9.40385020907	0.297196592	L10-R10	weightsNONE	none	L10-R10	LLR	31.94
campaign.n.10-10.weightsNONE.10-10.pospmi	1.69372432942	-5.002953694	L10-R10	weightsNONE	none	L10-R10	pospmi	23.52
campaign.n.10-10.weightsNONE.10-10.tScore	-4.1551876056	1.5381851031	L10-R10	weightsNONE	none	L10-R10	tScore	28.56
campaign.n.10-10.weightsNONE.2-2.diceM	-9.35432058746	4.79755268384	L10-R10	weightsNONE	none	L2-R2	diceM	24.18
campaign.n.10-10.weightsNONE.2-2.LLR	-12.475238937	2.02278294678	L10-R10	weightsNONE	none	L2-R2	LLR	34.65
campaign.n.10-10.weightsNONE.2-2.pospmi	3.67125413466	-7.46003191595	L10-R10	weightsNONE	none	L2-R2	pospmi	26.98
campaign.n.10-10.weightsNONE.2-2.tScore	-10.5223451084	4.79143587084	L10-R10	weightsNONE	none	L2-R2	tScore	33.11
campaign.n.10-10.weightsNONE.4-4.diceM	-9.61735034461	2.9756586419	L10-R10	weightsNONE	none	L4-R4	diceM	21.26
campaign.n.10-10.weightsNONE.4-4.LLR	-11.8644115714	1.61316482814	L10-R10	weightsNONE	none	L4-R4	LLR	33.14
campaign.n.10-10.weightsNONE.4-4.pospmi	4.04646652031	-5.95297117835	L10-R10	weightsNONE	none	L4-R4	pospmi	25.85
campaign.n.10-10.weightsNONE.4-4.tScore	-7.6950928813	1.43121556636	L10-R10	weightsNONE	none	L4-R4	tScore	31.21
campaign.n.10-10.weightsNONE.7-7.diceM	-6.31580270799	-4.10175708118	L10-R10	weightsNONE	none	L7-R7	diceM	18.90
campaign.n.10-10.weightsNONE.7-7.LLR	-10.9530811123	-0.155756499501	L10-R10	weightsNONE	none	L7-R7	LLR	32.73
campaign.n.10-10.weightsNONE.7-7.pospmi	0.799669975704	-5.37566124965	L10-R10	weightsNONE	none	L7-R7	pospmi	25.19
campaign.n.10-10.weightsNONE.7-7.tScore	-4.2238179295	0.333504617804	L10-R10	weightsNONE	none	L7-R7	tScore	29.52
campaign.n.20-20.weightsNONE.10-10.diceM	-7.33415788158	-6.23762438118	L20-R20	weightsNONE	none	L10-R10	diceM	19.44
