_id	model.x	model.y	contextWindow	FirstOrderWeighting	BNCweighting	SecondOrderWindow	SecondOrderScore	stress
chip.n.10-10.weightsNONE.10-10.diceM	-8.18093960181	-2.57793349149	L10-R10	weightsNONE	none	L10-R10	diceM	21.20
chip.n.10-10.weightsNONE.10-10.LLR	-6.7785448871	-1.59151224918	L10-R10	weightsNONE	none	L10-R10	LLR	31.27
chip.n.10-10.weightsNONE.10-10.pospmi	-3.15905667869	-2.63013967017	L10-R10	weightsNONE	none	L10-R10	pospmi	24.90
chip.n.10-10.weightsNONE.10-10.tScore	-4.97858713216	-1.57659069344	L10-R10	weightsNONE	none	L10-R10	tScore	28.20
chip.n.10-10.weightsNONE.2-2.diceM	-4.35432309841	-2.99299480005	L10-R10	weightsNONE	none	L2-R2	diceM	27.20
chip.n.10-10.weightsNONE.2-2.LLR	-9.30782639649	-1.0291099147	L10-R10	weightsNONE	none	L2-R2	LLR	35.17
chip.n.10-10.weightsNONE.2-2.pospmi	-3.85406933431	-4.06137182653	L10-R10	weightsNONE	none	L2-R2	pospmi	27.67
chip.n.10-10.weightsNONE.2-2.tScore	-4.50196908315	-2.34587786758	L10-R10	weightsNONE	none	L2-R2	tScore	31.74
chip.n.10-10.weightsNONE.4-4.diceM	-4.44625927478	-4.8648367643	L10-R10	weightsNONE	none	L4-R4	diceM	24.84
chip.n.10-10.weightsNONE.4-4.LLR	-13.2239693782	4.33610808199	L10-R10	weightsNONE	none	L4-R4	LLR	41.75
chip.n.10-10.weightsNONE.4-4.pospmi	-2.9471438161	-3.56063205565	L10-R10	weightsNONE	none	L4-R4	pospmi	26.69
chip.n.10-10.weightsNONE.4-4.tScore	-5.28163011101	-1.52245827553	L10-R10	weightsNONE	none	L4-R4	tScore	30.57
chip.n.10-10.weightsNONE.7-7.diceM	-6.58421335724	-2.6817453275	L10-R10	weightsNONE	none	L7-R7	diceM	22.48
chip.n.10-10.weightsNONE.7-7.LLR	-7.62628507739	-2.28130409253	L10-R10	weightsNONE	none	L7-R7	LLR	33.30
chip.n.10-10.weightsNONE.7-7.pospmi	-2.37931861379	-3.58492522391	L10-R10	weightsNONE	none	L7-R7	pospmi	25.33
chip.n.10-10.weightsNONE.7-7.tScore	-4.72496795973	-0.776620979253	L10-R10	weightsNONE	none	L7-R7	tScore	28.35
chip.n.20-20.weightsNONE.10-10.diceM	-5.78605858122	2.65948389074	L20-R20	weightsNONE	none	L10-R10	diceM	22.41
chip.n.20-20.weightsNONE.10-10.LLR	-8.73064878888	3.20234358712	L20-R20	weightsNONE	none	L10-R10	LLR	28.94
chip.n.20-20.weightsNONE.10-10.pospmi	-3.71129890238	3.15795460559	L20-R20	weightsNONE	none	L10-R10	pospmi	23.36
chip.n.20-20.weightsNONE.10-10.tScore	-4.73688330203	4.11026897546	L20-R20	weightsNONE	none	L10-R10	tScore	23.85
chip.n.20-20.weightsNONE.2-2.diceM	-6.13291540132	4.6965698233	L20-R20	weightsNONE	none	L2-R2	diceM	25.83
chip.n.20-20.weightsNONE.2-2.LLR	-8.40203064166	3.1678646493	L20-R20	weightsNONE	none	L2-R2	LLR	29.47
chip.n.20-20.weightsNONE.2-2.pospmi	-3.03993548788	3.10445472019	L20-R20	weightsNONE	none	L2-R2	pospmi	26.38
chip.n.20-20.weightsNONE.2-2.tScore	-4.98387909763	3.42581019511	L20-R20	weightsNONE	none	L2-R2	tScore	29.04
chip.n.20-20.weightsNONE.4-4.diceM	-7.13121823481	4.86299967365	L20-R20	weightsNONE	none	L4-R4	diceM	22.88
chip.n.20-20.weightsNONE.4-4.LLR	-7.78909697616	4.32626297387	L20-R20	weightsNONE	none	L4-R4	LLR	30.28
chip.n.20-20.weightsNONE.4-4.pospmi	-3.82581243848	3.02288909037	L20-R20	weightsNONE	none	L4-R4	pospmi	23.97
chip.n.20-20.weightsNONE.4-4.tScore	-5.51187122356	3.35787410616	L20-R20	weightsNONE	none	L4-R4	tScore	27.28
chip.n.20-20.weightsNONE.7-7.diceM	-7.69093067295	3.92481803879	L20-R20	weightsNONE	none	L7-R7	diceM	22.34
chip.n.20-20.weightsNONE.7-7.LLR	-7.33656612514	3.21812547412	L20-R20	weightsNONE	none	L7-R7	LLR	28.12
chip.n.20-20.weightsNONE.7-7.pospmi	-4.24693641513	3.93898572503	L20-R20	weightsNONE	none	L7-R7	pospmi	23.71
chip.n.20-20.weightsNONE.7-7.tScore	-4.51584384119	3.99446852072	L20-R20	weightsNONE	none	L7-R7	tScore	25.57
chip.n.40-40.weightsNONE.10-10.diceM	-5.64095757729	5.18114150457	L40-R40	weightsNONE	none	L10-R10	diceM	22.00
chip.n.40-40.weightsNONE.10-10.LLR	-4.72915616193	6.51060932654	L40-R40	weightsNONE	none	L10-R10	LLR	26.71
chip.n.40-40.weightsNONE.10-10.pospmi	-4.83529979365	6.41881340248	L40-R40	weightsNONE	none	L10-R10	pospmi	21.39
chip.n.40-40.weightsNONE.10-10.tScore	-4.63306095136	6.89712478008	L40-R40	weightsNONE	none	L10-R10	tScore	19.20
chip.n.40-40.weightsNONE.2-2.diceM	-5.07093579818	6.53806520004	L40-R40	weightsNONE	none	L2-R2	diceM	22.87
chip.n.40-40.weightsNONE.2-2.LLR	-10.8176268196	-9.23265563176	L40-R40	weightsNONE	none	L2-R2	LLR	41.71
chip.n.40-40.weightsNONE.2-2.pospmi	-3.14849922947	7.03838997189	L40-R40	weightsNONE	none	L2-R2	pospmi	22.82
chip.n.40-40.weightsNONE.2-2.tScore	-5.30311887782	7.68781072423	L40-R40	weightsNONE	none	L2-R2	tScore	27.44
chip.n.40-40.weightsNONE.4-4.diceM	-6.11019096706	6.34151022627	L40-R40	weightsNONE	none	L4-R4	diceM	21.54
chip.n.40-40.weightsNONE.4-4.LLR	-6.41005904891	5.53476767702	L40-R40	weightsNONE	none	L4-R4	LLR	27.62
chip.n.40-40.weightsNONE.4-4.pospmi	-2.9901363862	6.01878070479	L40-R40	weightsNONE	none	L4-R4	pospmi	20.25
chip.n.40-40.weightsNONE.4-4.tScore	-3.33933020797	6.66362963974	L40-R40	weightsNONE	none	L4-R4	tScore	24.34
chip.n.40-40.weightsNONE.7-7.diceM	-4.20378694024	6.08616130644	L40-R40	weightsNONE	none	L7-R7	diceM	21.08
chip.n.40-40.weightsNONE.7-7.LLR	-6.61339766032	6.19031276647	L40-R40	weightsNONE	none	L7-R7	LLR	28.72
chip.n.40-40.weightsNONE.7-7.pospmi	-2.94039489256	5.96783348438	L40-R40	weightsNONE	none	L7-R7	pospmi	19.46
chip.n.40-40.weightsNONE.7-7.tScore	-3.06440124	6.25810751686	L40-R40	weightsNONE	none	L7-R7	tScore	21.51
chip.n.10-10.weightsBNC-2-2pospmi.10-10.diceM	2.19767011155	-5.31042489764	L10-R10	weightsBNC-2-2pospmi	BNC	L10-R10	diceM	19.42
chip.n.10-10.weightsBNC-2-2pospmi.10-10.LLR	0.813510973525	-6.29532152153	L10-R10	weightsBNC-2-2pospmi	BNC	L10-R10	LLR	23.41
chip.n.10-10.weightsBNC-2-2pospmi.10-10.pospmi	1.52376576611	-4.84336683577	L10-R10	weightsBNC-2-2pospmi	BNC	L10-R10	pospmi	22.16
chip.n.10-10.weightsBNC-2-2pospmi.10-10.tScore	1.17124360769	-6.52667762004	L10-R10	weightsBNC-2-2pospmi	BNC	L10-R10	tScore	19.99
chip.n.10-10.weightsBNC-2-2pospmi.2-2.diceM	-0.325152373219	-5.94430430725	L10-R10	weightsBNC-2-2pospmi	BNC	L2-R2	diceM	21.11
chip.n.10-10.weightsBNC-2-2pospmi.2-2.LLR	3.14418437623	-6.83672825412	L10-R10	weightsBNC-2-2pospmi	BNC	L2-R2	LLR	28.01
chip.n.10-10.weightsBNC-2-2pospmi.2-2.pospmi	1.63858411885	-5.29319581007	L10-R10	weightsBNC-2-2pospmi	BNC	L2-R2	pospmi	22.60
chip.n.10-10.weightsBNC-2-2pospmi.2-2.tScore	-0.921402014214	-6.6637214831	L10-R10	weightsBNC-2-2pospmi	BNC	L2-R2	tScore	25.50
chip.n.10-10.weightsBNC-2-2pospmi.4-4.diceM	0.609249820603	-5.46406644248	L10-R10	weightsBNC-2-2pospmi	BNC	L4-R4	diceM	19.23
chip.n.10-10.weightsBNC-2-2pospmi.4-4.LLR	-0.730449668959	-7.06549937864	L10-R10	weightsBNC-2-2pospmi	BNC	L4-R4	LLR	26.54
chip.n.10-10.weightsBNC-2-2pospmi.4-4.pospmi	1.44822628206	-5.58237524056	L10-R10	weightsBNC-2-2pospmi	BNC	L4-R4	pospmi	22.53
chip.n.10-10.weightsBNC-2-2pospmi.4-4.tScore	-0.904843641593	-5.80453830016	L10-R10	weightsBNC-2-2pospmi	BNC	L4-R4	tScore	22.72
chip.n.10-10.weightsBNC-2-2pospmi.7-7.diceM	3.05857919273	-5.6446789179	L10-R10	weightsBNC-2-2pospmi	BNC	L7-R7	diceM	19.86
chip.n.10-10.weightsBNC-2-2pospmi.7-7.LLR	1.95297958156	-5.55222956037	L10-R10	weightsBNC-2-2pospmi	BNC	L7-R7	LLR	23.16
chip.n.10-10.weightsBNC-2-2pospmi.7-7.pospmi	1.10387803372	-4.72461254938	L10-R10	weightsBNC-2-2pospmi	BNC	L7-R7	pospmi	21.23
chip.n.10-10.weightsBNC-2-2pospmi.7-7.tScore	1.26526541252	-6.15858317215	L10-R10	weightsBNC-2-2pospmi	BNC	L7-R7	tScore	20.66
chip.n.10-10.weightsBNC-4-4pospmi.10-10.diceM	2.22299032407	-5.39185248493	L10-R10	weightsBNC-4-4pospmi	BNC	L10-R10	diceM	20.03
chip.n.10-10.weightsBNC-4-4pospmi.10-10.LLR	-0.574229446075	-4.37470757021	L10-R10	weightsBNC-4-4pospmi	BNC	L10-R10	LLR	23.31
chip.n.10-10.weightsBNC-4-4pospmi.10-10.pospmi	1.13509941833	-6.03941214854	L10-R10	weightsBNC-4-4pospmi	BNC	L10-R10	pospmi	24.66
chip.n.10-10.weightsBNC-4-4pospmi.10-10.tScore	-0.864636152141	-5.26016486442	L10-R10	weightsBNC-4-4pospmi	BNC	L10-R10	tScore	21.35
chip.n.10-10.weightsBNC-4-4pospmi.2-2.diceM	0.272169379075	-6.12524991586	L10-R10	weightsBNC-4-4pospmi	BNC	L2-R2	diceM	21.77
chip.n.10-10.weightsBNC-4-4pospmi.2-2.LLR	0.0420008374648	-4.59787931941	L10-R10	weightsBNC-4-4pospmi	BNC	L2-R2	LLR	28.00
chip.n.10-10.weightsBNC-4-4pospmi.2-2.pospmi	0.444112726891	-5.9685981707	L10-R10	weightsBNC-4-4pospmi	BNC	L2-R2	pospmi	22.97
chip.n.10-10.weightsBNC-4-4pospmi.2-2.tScore	0.811772183498	-5.45689559827	L10-R10	weightsBNC-4-4pospmi	BNC	L2-R2	tScore	24.47
chip.n.10-10.weightsBNC-4-4pospmi.4-4.diceM	1.17099390261	-5.34307205602	L10-R10	weightsBNC-4-4pospmi	BNC	L4-R4	diceM	19.07
chip.n.10-10.weightsBNC-4-4pospmi.4-4.LLR	-1.6596858257	-6.6594350424	L10-R10	weightsBNC-4-4pospmi	BNC	L4-R4	LLR	25.17
chip.n.10-10.weightsBNC-4-4pospmi.4-4.pospmi	1.05927242725	-4.952001495	L10-R10	weightsBNC-4-4pospmi	BNC	L4-R4	pospmi	23.51
chip.n.10-10.weightsBNC-4-4pospmi.4-4.tScore	0.131917933471	-6.60750684929	L10-R10	weightsBNC-4-4pospmi	BNC	L4-R4	tScore	22.86
chip.n.10-10.weightsBNC-4-4pospmi.7-7.diceM	1.30837742678	-5.17198291003	L10-R10	weightsBNC-4-4pospmi	BNC	L7-R7	diceM	19.89
chip.n.10-10.weightsBNC-4-4pospmi.7-7.LLR	-0.183516966351	-5.56876287087	L10-R10	weightsBNC-4-4pospmi	BNC	L7-R7	LLR	23.96
chip.n.10-10.weightsBNC-4-4pospmi.7-7.pospmi	1.1816446231	-5.06639092501	L10-R10	weightsBNC-4-4pospmi	BNC	L7-R7	pospmi	22.76
chip.n.10-10.weightsBNC-4-4pospmi.7-7.tScore	0.976298118647	-6.49634424602	L10-R10	weightsBNC-4-4pospmi	BNC	L7-R7	tScore	22.53
chip.n.10-10.weightsBNC-7-7pospmi.10-10.diceM	1.133722394	-4.58301250941	L10-R10	weightsBNC-7-7pospmi	BNC	L10-R10	diceM	18.43
chip.n.10-10.weightsBNC-7-7pospmi.10-10.LLR	-0.799154912007	-3.80705792911	L10-R10	weightsBNC-7-7pospmi	BNC	L10-R10	LLR	23.61
chip.n.10-10.weightsBNC-7-7pospmi.10-10.pospmi	0.477773619781	-5.32651778122	L10-R10	weightsBNC-7-7pospmi	BNC	L10-R10	pospmi	22.59
chip.n.10-10.weightsBNC-7-7pospmi.10-10.tScore	0.238224459982	-4.07126619493	L10-R10	weightsBNC-7-7pospmi	BNC	L10-R10	tScore	20.88
chip.n.10-10.weightsBNC-7-7pospmi.2-2.diceM	1.86865548266	-5.93674215845	L10-R10	weightsBNC-7-7pospmi	BNC	L2-R2	diceM	20.24
chip.n.10-10.weightsBNC-7-7pospmi.2-2.LLR	-1.1560239869	-6.03658623085	L10-R10	weightsBNC-7-7pospmi	BNC	L2-R2	LLR	28.39
chip.n.10-10.weightsBNC-7-7pospmi.2-2.pospmi	0.735837519596	-6.13967084746	L10-R10	weightsBNC-7-7pospmi	BNC	L2-R2	pospmi	23.70
chip.n.10-10.weightsBNC-7-7pospmi.2-2.tScore	-0.050289886226	-4.49748919318	L10-R10	weightsBNC-7-7pospmi	BNC	L2-R2	tScore	24.37
chip.n.10-10.weightsBNC-7-7pospmi.4-4.diceM	-0.300724864884	-6.39794503294	L10-R10	weightsBNC-7-7pospmi	BNC	L4-R4	diceM	19.57
chip.n.10-10.weightsBNC-7-7pospmi.4-4.LLR	-0.555130670323	-5.21469280628	L10-R10	weightsBNC-7-7pospmi	BNC	L4-R4	LLR	25.32
chip.n.10-10.weightsBNC-7-7pospmi.4-4.pospmi	0.489299910413	-5.98037988953	L10-R10	weightsBNC-7-7pospmi	BNC	L4-R4	pospmi	22.80
chip.n.10-10.weightsBNC-7-7pospmi.4-4.tScore	0.0801520610718	-5.41636369736	L10-R10	weightsBNC-7-7pospmi	BNC	L4-R4	tScore	22.33
chip.n.10-10.weightsBNC-7-7pospmi.7-7.diceM	2.02673032637	-5.08363859782	L10-R10	weightsBNC-7-7pospmi	BNC	L7-R7	diceM	18.49
chip.n.10-10.weightsBNC-7-7pospmi.7-7.LLR	-2.06149586922	-4.87929211015	L10-R10	weightsBNC-7-7pospmi	BNC	L7-R7	LLR	23.59
chip.n.10-10.weightsBNC-7-7pospmi.7-7.pospmi	0.688496170366	-4.71278290352	L10-R10	weightsBNC-7-7pospmi	BNC	L7-R7	pospmi	21.98
chip.n.10-10.weightsBNC-7-7pospmi.7-7.tScore	-0.0340489443243	-5.80361463166	L10-R10	weightsBNC-7-7pospmi	BNC	L7-R7	tScore	21.75
chip.n.20-20.weightsBNC-2-2pospmi.10-10.diceM	5.1397720195	-1.71184615455	L20-R20	weightsBNC-2-2pospmi	BNC	L10-R10	diceM	18.69
chip.n.20-20.weightsBNC-2-2pospmi.10-10.LLR	0.943160572496	0.529494040305	L20-R20	weightsBNC-2-2pospmi	BNC	L10-R10	LLR	21.17
chip.n.20-20.weightsBNC-2-2pospmi.10-10.pospmi	3.28763377024	-1.73125149038	L20-R20	weightsBNC-2-2pospmi	BNC	L10-R10	pospmi	18.69
chip.n.20-20.weightsBNC-2-2pospmi.10-10.tScore	2.00508678982	0.136445224249	L20-R20	weightsBNC-2-2pospmi	BNC	L10-R10	tScore	19.38
chip.n.20-20.weightsBNC-2-2pospmi.2-2.diceM	4.89558789674	-0.958749546203	L20-R20	weightsBNC-2-2pospmi	BNC	L2-R2	diceM	20.80
chip.n.20-20.weightsBNC-2-2pospmi.2-2.LLR	0.871732387293	1.79917781222	L20-R20	weightsBNC-2-2pospmi	BNC	L2-R2	LLR	24.87
chip.n.20-20.weightsBNC-2-2pospmi.2-2.pospmi	4.00476323513	-1.98143972296	L20-R20	weightsBNC-2-2pospmi	BNC	L2-R2	pospmi	21.42
chip.n.20-20.weightsBNC-2-2pospmi.2-2.tScore	2.29368762756	0.460895237329	L20-R20	weightsBNC-2-2pospmi	BNC	L2-R2	tScore	21.25
chip.n.20-20.weightsBNC-2-2pospmi.4-4.diceM	2.86733514466	0.175907620628	L20-R20	weightsBNC-2-2pospmi	BNC	L4-R4	diceM	19.70
chip.n.20-20.weightsBNC-2-2pospmi.4-4.LLR	0.536292164734	0.344214685586	L20-R20	weightsBNC-2-2pospmi	BNC	L4-R4	LLR	23.42
chip.n.20-20.weightsBNC-2-2pospmi.4-4.pospmi	3.80757121309	-1.44139345847	L20-R20	weightsBNC-2-2pospmi	BNC	L4-R4	pospmi	21.35
chip.n.20-20.weightsBNC-2-2pospmi.4-4.tScore	3.44993989059	-1.25871050059	L20-R20	weightsBNC-2-2pospmi	BNC	L4-R4	tScore	19.24
chip.n.20-20.weightsBNC-2-2pospmi.7-7.diceM	4.0432344685	-1.66134692447	L20-R20	weightsBNC-2-2pospmi	BNC	L7-R7	diceM	18.69
chip.n.20-20.weightsBNC-2-2pospmi.7-7.LLR	0.401734100492	0.942543031315	L20-R20	weightsBNC-2-2pospmi	BNC	L7-R7	LLR	21.61
chip.n.20-20.weightsBNC-2-2pospmi.7-7.pospmi	3.56151249866	-1.66549322009	L20-R20	weightsBNC-2-2pospmi	BNC	L7-R7	pospmi	18.15
chip.n.20-20.weightsBNC-2-2pospmi.7-7.tScore	2.93987926446	-1.25771219951	L20-R20	weightsBNC-2-2pospmi	BNC	L7-R7	tScore	19.15
chip.n.20-20.weightsBNC-4-4pospmi.10-10.diceM	3.69050854475	0.131565784479	L20-R20	weightsBNC-4-4pospmi	BNC	L10-R10	diceM	18.31
chip.n.20-20.weightsBNC-4-4pospmi.10-10.LLR	0.448648459634	1.10494036071	L20-R20	weightsBNC-4-4pospmi	BNC	L10-R10	LLR	21.07
chip.n.20-20.weightsBNC-4-4pospmi.10-10.pospmi	4.14125779047	-0.878635909221	L20-R20	weightsBNC-4-4pospmi	BNC	L10-R10	pospmi	20.83
chip.n.20-20.weightsBNC-4-4pospmi.10-10.tScore	2.11051920779	-0.537712831157	L20-R20	weightsBNC-4-4pospmi	BNC	L10-R10	tScore	18.73
chip.n.20-20.weightsBNC-4-4pospmi.2-2.diceM	4.22527210102	0.442601241092	L20-R20	weightsBNC-4-4pospmi	BNC	L2-R2	diceM	21.09
chip.n.20-20.weightsBNC-4-4pospmi.2-2.LLR	0.493965532182	2.78576212196	L20-R20	weightsBNC-4-4pospmi	BNC	L2-R2	LLR	25.27
chip.n.20-20.weightsBNC-4-4pospmi.2-2.pospmi	4.97381409129	-0.827806431629	L20-R20	weightsBNC-4-4pospmi	BNC	L2-R2	pospmi	21.82
chip.n.20-20.weightsBNC-4-4pospmi.2-2.tScore	2.34651124581	0.647963713146	L20-R20	weightsBNC-4-4pospmi	BNC	L2-R2	tScore	21.20
chip.n.20-20.weightsBNC-4-4pospmi.4-4.diceM	3.46957785071	0.240094087412	L20-R20	weightsBNC-4-4pospmi	BNC	L4-R4	diceM	19.40
chip.n.20-20.weightsBNC-4-4pospmi.4-4.LLR	0.909320235139	1.29124659244	L20-R20	weightsBNC-4-4pospmi	BNC	L4-R4	LLR	22.15
chip.n.20-20.weightsBNC-4-4pospmi.4-4.pospmi	4.83102343743	-0.499087519933	L20-R20	weightsBNC-4-4pospmi	BNC	L4-R4	pospmi	21.38
chip.n.20-20.weightsBNC-4-4pospmi.4-4.tScore	3.96679841487	-0.592540332767	L20-R20	weightsBNC-4-4pospmi	BNC	L4-R4	tScore	20.65
chip.n.20-20.weightsBNC-4-4pospmi.7-7.diceM	4.83915160484	-0.164197606926	L20-R20	weightsBNC-4-4pospmi	BNC	L7-R7	diceM	18.57
chip.n.20-20.weightsBNC-4-4pospmi.7-7.LLR	0.49824336684	0.0847401655026	L20-R20	weightsBNC-4-4pospmi	BNC	L7-R7	LLR	22.27
chip.n.20-20.weightsBNC-4-4pospmi.7-7.pospmi	4.67693836854	-1.15344416039	L20-R20	weightsBNC-4-4pospmi	BNC	L7-R7	pospmi	20.69
chip.n.20-20.weightsBNC-4-4pospmi.7-7.tScore	2.57667674552	-0.768967018248	L20-R20	weightsBNC-4-4pospmi	BNC	L7-R7	tScore	19.40
chip.n.20-20.weightsBNC-7-7pospmi.10-10.diceM	5.60447698432	0.457231746954	L20-R20	weightsBNC-7-7pospmi	BNC	L10-R10	diceM	13.75
chip.n.20-20.weightsBNC-7-7pospmi.10-10.LLR	0.441114197771	1.05580031553	L20-R20	weightsBNC-7-7pospmi	BNC	L10-R10	LLR	20.32
chip.n.20-20.weightsBNC-7-7pospmi.10-10.pospmi	3.31988441705	-0.722559708357	L20-R20	weightsBNC-7-7pospmi	BNC	L10-R10	pospmi	19.03
chip.n.20-20.weightsBNC-7-7pospmi.10-10.tScore	1.78049619363	0.823979516202	L20-R20	weightsBNC-7-7pospmi	BNC	L10-R10	tScore	18.20
chip.n.20-20.weightsBNC-7-7pospmi.2-2.diceM	5.23324215165	-0.0762222259896	L20-R20	weightsBNC-7-7pospmi	BNC	L2-R2	diceM	18.35
chip.n.20-20.weightsBNC-7-7pospmi.2-2.LLR	1.0311562493	1.91286023047	L20-R20	weightsBNC-7-7pospmi	BNC	L2-R2	LLR	23.87
chip.n.20-20.weightsBNC-7-7pospmi.2-2.pospmi	4.02577183615	-0.930135591402	L20-R20	weightsBNC-7-7pospmi	BNC	L2-R2	pospmi	20.76
chip.n.20-20.weightsBNC-7-7pospmi.2-2.tScore	2.93702373243	0.237459376535	L20-R20	weightsBNC-7-7pospmi	BNC	L2-R2	tScore	20.57
chip.n.20-20.weightsBNC-7-7pospmi.4-4.diceM	5.78163355372	0.949526894462	L20-R20	weightsBNC-7-7pospmi	BNC	L4-R4	diceM	12.82
