_id	model.x	model.y	contextWindow	FirstOrderWeighting	BNCweighting	SecondOrderWindow	SecondOrderScore	stress
class.n.10-10.weightsNONE.10-10.diceM	-3.60439196703	-1.76864112536	L10-R10	weightsNONE	none	L10-R10	diceM	19.26
class.n.10-10.weightsNONE.10-10.dir_lik_stat	-0.958750207359	-5.79378519953	L10-R10	weightsNONE	none	L10-R10	dir_lik_stat	29.70
class.n.10-10.weightsNONE.10-10.pospmi	2.09415080913	-4.37100244411	L10-R10	weightsNONE	none	L10-R10	pospmi	22.88
class.n.10-10.weightsNONE.10-10.tScore	-1.2218761482	-3.75938394326	L10-R10	weightsNONE	none	L10-R10	tScore	24.69
class.n.10-10.weightsNONE.2-2.diceM	1.66656757415	-2.67480032359	L10-R10	weightsNONE	none	L2-R2	diceM	23.36
class.n.10-10.weightsNONE.2-2.dir_lik_stat	4.00605009393	6.22953882772	L10-R10	weightsNONE	none	L2-R2	dir_lik_stat	32.16
class.n.10-10.weightsNONE.2-2.pospmi	1.70438296341	-3.84377874958	L10-R10	weightsNONE	none	L2-R2	pospmi	25.84
class.n.10-10.weightsNONE.2-2.tScore	-2.04826820927	-2.36106795914	L10-R10	weightsNONE	none	L2-R2	tScore	29.91
class.n.10-10.weightsNONE.4-4.diceM	2.25810755744	-5.02960209438	L10-R10	weightsNONE	none	L4-R4	diceM	21.82
class.n.10-10.weightsNONE.4-4.dir_lik_stat	-2.88618864148	-4.01108694039	L10-R10	weightsNONE	none	L4-R4	dir_lik_stat	30.13
class.n.10-10.weightsNONE.4-4.pospmi	1.91065103526	-4.29856465629	L10-R10	weightsNONE	none	L4-R4	pospmi	23.95
class.n.10-10.weightsNONE.4-4.tScore	-1.71345259794	-3.55707829767	L10-R10	weightsNONE	none	L4-R4	tScore	26.70
class.n.10-10.weightsNONE.7-7.diceM	1.63327910902	-4.35577017829	L10-R10	weightsNONE	none	L7-R7	diceM	18.16
class.n.10-10.weightsNONE.7-7.dir_lik_stat	-1.83643437015	-3.93206667301	L10-R10	weightsNONE	none	L7-R7	dir_lik_stat	28.88
class.n.10-10.weightsNONE.7-7.pospmi	1.42054622183	-5.13361254302	L10-R10	weightsNONE	none	L7-R7	pospmi	23.48
class.n.10-10.weightsNONE.7-7.tScore	-1.7592321721	-3.48203363664	L10-R10	weightsNONE	none	L7-R7	tScore	26.01
class.n.20-20.weightsNONE.10-10.diceM	-3.3287133512	-4.83320115754	L20-R20	weightsNONE	none	L10-R10	diceM	16.37
class.n.20-20.weightsNONE.10-10.dir_lik_stat	-3.16131156535	-3.83513673953	L20-R20	weightsNONE	none	L10-R10	dir_lik_stat	26.21
class.n.20-20.weightsNONE.10-10.pospmi	-0.126592080133	-4.58128743663	L20-R20	weightsNONE	none	L10-R10	pospmi	21.32
class.n.20-20.weightsNONE.10-10.tScore	-1.49998858765	-3.40538991174	L20-R20	weightsNONE	none	L10-R10	tScore	23.47
class.n.20-20.weightsNONE.2-2.diceM	-6.72547072871	3.10704870668	L20-R20	weightsNONE	none	L2-R2	diceM	16.28
class.n.20-20.weightsNONE.2-2.dir_lik_stat	-4.82533150264	-1.35772496669	L20-R20	weightsNONE	none	L2-R2	dir_lik_stat	31.15
class.n.20-20.weightsNONE.2-2.pospmi	0.146137787679	-4.74706679922	L20-R20	weightsNONE	none	L2-R2	pospmi	24.22
class.n.20-20.weightsNONE.2-2.tScore	-3.01246343627	-1.63821534147	L20-R20	weightsNONE	none	L2-R2	tScore	27.23
class.n.20-20.weightsNONE.4-4.diceM	-3.20681735461	-8.42679187582	L20-R20	weightsNONE	none	L4-R4	diceM	15.58
class.n.20-20.weightsNONE.4-4.dir_lik_stat	-3.69741365325	-3.71352037837	L20-R20	weightsNONE	none	L4-R4	dir_lik_stat	29.05
class.n.20-20.weightsNONE.4-4.pospmi	-0.0317026102792	-4.40793507623	L20-R20	weightsNONE	none	L4-R4	pospmi	22.87
class.n.20-20.weightsNONE.4-4.tScore	-2.22415534307	-3.77049960301	L20-R20	weightsNONE	none	L4-R4	tScore	24.86
class.n.20-20.weightsNONE.7-7.diceM	-5.9641632741	-4.85510439123	L20-R20	weightsNONE	none	L7-R7	diceM	15.06
class.n.20-20.weightsNONE.7-7.dir_lik_stat	-2.35985771268	-3.89906524566	L20-R20	weightsNONE	none	L7-R7	dir_lik_stat	28.75
class.n.20-20.weightsNONE.7-7.pospmi	-0.0194949123344	-4.83072250965	L20-R20	weightsNONE	none	L7-R7	pospmi	20.79
class.n.20-20.weightsNONE.7-7.tScore	-2.23287892919	-3.71554249759	L20-R20	weightsNONE	none	L7-R7	tScore	24.66
class.n.40-40.weightsNONE.10-10.diceM	-3.43726202063	-4.06145756162	L40-R40	weightsNONE	none	L10-R10	diceM	15.95
class.n.40-40.weightsNONE.10-10.dir_lik_stat	-2.03635138452	-4.71682511667	L40-R40	weightsNONE	none	L10-R10	dir_lik_stat	24.65
class.n.40-40.weightsNONE.10-10.pospmi	-1.19650429651	-4.54837863136	L40-R40	weightsNONE	none	L10-R10	pospmi	22.39
class.n.40-40.weightsNONE.10-10.tScore	-1.70875858143	-3.89158886274	L40-R40	weightsNONE	none	L10-R10	tScore	19.48
class.n.40-40.weightsNONE.2-2.diceM	-4.0954961421	-4.99732943585	L40-R40	weightsNONE	none	L2-R2	diceM	18.61
class.n.40-40.weightsNONE.2-2.dir_lik_stat	-4.25530619602	-4.51106661618	L40-R40	weightsNONE	none	L2-R2	dir_lik_stat	29.18
class.n.40-40.weightsNONE.2-2.pospmi	-1.03730983149	-4.27693617391	L40-R40	weightsNONE	none	L2-R2	pospmi	22.19
class.n.40-40.weightsNONE.2-2.tScore	-3.34803096912	-3.57723534239	L40-R40	weightsNONE	none	L2-R2	tScore	25.95
class.n.40-40.weightsNONE.4-4.diceM	-3.85346882396	-4.84754580283	L40-R40	weightsNONE	none	L4-R4	diceM	17.54
class.n.40-40.weightsNONE.4-4.dir_lik_stat	-2.50828544413	-4.71775390746	L40-R40	weightsNONE	none	L4-R4	dir_lik_stat	26.31
class.n.40-40.weightsNONE.4-4.pospmi	-0.985165936474	-5.18739168804	L40-R40	weightsNONE	none	L4-R4	pospmi	21.36
class.n.40-40.weightsNONE.4-4.tScore	-1.90468774651	-4.91414568473	L40-R40	weightsNONE	none	L4-R4	tScore	24.55
class.n.40-40.weightsNONE.7-7.diceM	-3.09629636577	-4.36157312832	L40-R40	weightsNONE	none	L7-R7	diceM	16.39
class.n.40-40.weightsNONE.7-7.dir_lik_stat	-2.06368157689	-4.18549339064	L40-R40	weightsNONE	none	L7-R7	dir_lik_stat	24.16
class.n.40-40.weightsNONE.7-7.pospmi	-1.20917333516	-4.71629475961	L40-R40	weightsNONE	none	L7-R7	pospmi	21.10
class.n.40-40.weightsNONE.7-7.tScore	-1.4616029911	-4.01307823549	L40-R40	weightsNONE	none	L7-R7	tScore	20.16
class.n.10-10.weightsBNC-2-2pospmi.10-10.diceM	10.6392396005	-2.66278177812	L10-R10	weightsBNC-2-2pospmi	BNC	L10-R10	diceM	10.60
class.n.10-10.weightsBNC-2-2pospmi.10-10.dir_lik_stat	0.506289464787	-2.55315956861	L10-R10	weightsBNC-2-2pospmi	BNC	L10-R10	dir_lik_stat	25.58
class.n.10-10.weightsBNC-2-2pospmi.10-10.pospmi	5.3316743205	-3.0999384253	L10-R10	weightsBNC-2-2pospmi	BNC	L10-R10	pospmi	24.48
class.n.10-10.weightsBNC-2-2pospmi.10-10.tScore	2.28341213366	-1.28398698388	L10-R10	weightsBNC-2-2pospmi	BNC	L10-R10	tScore	25.79
class.n.10-10.weightsBNC-2-2pospmi.2-2.diceM	6.14039493945	-0.420295535724	L10-R10	weightsBNC-2-2pospmi	BNC	L2-R2	diceM	20.54
class.n.10-10.weightsBNC-2-2pospmi.2-2.dir_lik_stat	1.91324029365	-0.198479450053	L10-R10	weightsBNC-2-2pospmi	BNC	L2-R2	dir_lik_stat	28.17
class.n.10-10.weightsBNC-2-2pospmi.2-2.pospmi	4.79176140035	-2.79203569302	L10-R10	weightsBNC-2-2pospmi	BNC	L2-R2	pospmi	25.53
class.n.10-10.weightsBNC-2-2pospmi.2-2.tScore	3.6770316168	2.05698555677	L10-R10	weightsBNC-2-2pospmi	BNC	L2-R2	tScore	27.87
class.n.10-10.weightsBNC-2-2pospmi.4-4.diceM	10.6353801324	-2.42934320488	L10-R10	weightsBNC-2-2pospmi	BNC	L4-R4	diceM	11.26
