_id	model.x	model.y	contextWindow	FirstOrderWeighting	BNCweighting	SecondOrderWindow	SecondOrderScore	stress
community.n.10-10.weightsNONE.10-10.diceM	0.587689248727	4.89460136775	L10-R10	weightsNONE	none	L10-R10	diceM	20.86
community.n.10-10.weightsNONE.10-10.LLR	3.69407707407	0.504688463131	L10-R10	weightsNONE	none	L10-R10	dir_lik_stat	29.15
community.n.10-10.weightsNONE.10-10.pospmi	3.98174925194	1.86494287429	L10-R10	weightsNONE	none	L10-R10	pospmi	25.61
community.n.10-10.weightsNONE.10-10.tScore	3.78146458617	1.0449450384	L10-R10	weightsNONE	none	L10-R10	tScore	24.66
community.n.10-10.weightsNONE.2-2.diceM	3.94811785775	5.11771189426	L10-R10	weightsNONE	none	L2-R2	diceM	23.57
community.n.10-10.weightsNONE.2-2.LLR	-1.20392762702	-3.79094785084	L10-R10	weightsNONE	none	L2-R2	dir_lik_stat	34.47
community.n.10-10.weightsNONE.2-2.pospmi	1.54100352883	3.62874782499	L10-R10	weightsNONE	none	L2-R2	pospmi	28.22
community.n.10-10.weightsNONE.2-2.tScore	3.21912422704	0.867375401907	L10-R10	weightsNONE	none	L2-R2	tScore	31.29
community.n.10-10.weightsNONE.4-4.diceM	5.28536066314	-2.35419725315	L10-R10	weightsNONE	none	L4-R4	diceM	22.21
community.n.10-10.weightsNONE.4-4.LLR	4.02226726257	0.518237670414	L10-R10	weightsNONE	none	L4-R4	dir_lik_stat	31.94
community.n.10-10.weightsNONE.4-4.pospmi	3.66388397337	3.15300878591	L10-R10	weightsNONE	none	L4-R4	pospmi	26.95
community.n.10-10.weightsNONE.4-4.tScore	3.73273822307	1.18068379334	L10-R10	weightsNONE	none	L4-R4	tScore	28.16
community.n.10-10.weightsNONE.7-7.diceM	5.07473730168	2.96437027228	L10-R10	weightsNONE	none	L7-R7	diceM	21.28
community.n.10-10.weightsNONE.7-7.LLR	3.8380196798	0.597325544507	L10-R10	weightsNONE	none	L7-R7	dir_lik_stat	29.87
community.n.10-10.weightsNONE.7-7.pospmi	4.42230084583	2.32369252236	L10-R10	weightsNONE	none	L7-R7	pospmi	25.75
community.n.10-10.weightsNONE.7-7.tScore	3.9987339138	1.19212887036	L10-R10	weightsNONE	none	L7-R7	tScore	25.89
community.n.20-20.weightsNONE.10-10.diceM	4.90782489947	-1.20590204604	L20-R20	weightsNONE	none	L10-R10	diceM	22.00
community.n.20-20.weightsNONE.10-10.LLR	4.07294471757	-0.759793961484	L20-R20	weightsNONE	none	L10-R10	dir_lik_stat	29.89
community.n.20-20.weightsNONE.10-10.pospmi	3.16219694997	0.224489026567	L20-R20	weightsNONE	none	L10-R10	pospmi	25.91
community.n.20-20.weightsNONE.10-10.tScore	3.71693893245	-0.103191425681	L20-R20	weightsNONE	none	L10-R10	tScore	24.71
community.n.20-20.weightsNONE.2-2.diceM	5.14057665139	-1.09514503094	L20-R20	weightsNONE	none	L2-R2	diceM	23.80
community.n.20-20.weightsNONE.2-2.LLR	-4.0578768994	-1.71623447282	L20-R20	weightsNONE	none	L2-R2	dir_lik_stat	33.65
community.n.20-20.weightsNONE.2-2.pospmi	-0.44287767281	2.07537119236	L20-R20	weightsNONE	none	L2-R2	pospmi	26.73
community.n.20-20.weightsNONE.2-2.tScore	-2.0480547596	-1.04083712158	L20-R20	weightsNONE	none	L2-R2	tScore	31.72
community.n.20-20.weightsNONE.4-4.diceM	5.60561275846	-0.767421232861	L20-R20	weightsNONE	none	L4-R4	diceM	21.86
community.n.20-20.weightsNONE.4-4.LLR	2.53632259429	-1.9090613324	L20-R20	weightsNONE	none	L4-R4	dir_lik_stat	32.72
