_id	model.x	model.y	contextWindow	FirstOrderWeighting	BNCweighting	SecondOrderWindow	SecondOrderScore	stress
deny.v.10-10.weightsNONE.10-10.diceM	0.134837913369	0.436986262078	L10-R10	weightsNONE	none	L10-R10	diceM	20.93
deny.v.10-10.weightsNONE.10-10.LLR	0.614783339865	1.13568486494	L10-R10	weightsNONE	none	L10-R10	dir_lik_stat	26.20
deny.v.10-10.weightsNONE.10-10.pospmi	0.955927972234	1.00277126095	L10-R10	weightsNONE	none	L10-R10	pospmi	22.42
deny.v.10-10.weightsNONE.10-10.tScore	0.363935840909	-0.263181530732	L10-R10	weightsNONE	none	L10-R10	tScore	24.06
deny.v.10-10.weightsNONE.2-2.diceM	0.492929969871	0.350274965293	L10-R10	weightsNONE	none	L2-R2	diceM	25.84
deny.v.10-10.weightsNONE.2-2.LLR	0.461087604405	0.916226788472	L10-R10	weightsNONE	none	L2-R2	dir_lik_stat	32.18
deny.v.10-10.weightsNONE.2-2.pospmi	0.853128866935	-0.0658567900499	L10-R10	weightsNONE	none	L2-R2	pospmi	24.82
deny.v.10-10.weightsNONE.2-2.tScore	-0.0746881370814	0.245686467653	L10-R10	weightsNONE	none	L2-R2	tScore	29.27
deny.v.10-10.weightsNONE.4-4.diceM	0.712744589358	0.191113395052	L10-R10	weightsNONE	none	L4-R4	diceM	22.85
deny.v.10-10.weightsNONE.4-4.LLR	0.982326877801	0.0660348234181	L10-R10	weightsNONE	none	L4-R4	dir_lik_stat	29.13
deny.v.10-10.weightsNONE.4-4.pospmi	0.862264137816	0.084538210148	L10-R10	weightsNONE	none	L4-R4	pospmi	24.45
deny.v.10-10.weightsNONE.4-4.tScore	-0.193792258895	0.25466463436	L10-R10	weightsNONE	none	L4-R4	tScore	27.44
deny.v.10-10.weightsNONE.7-7.diceM	0.188787261305	0.540013274545	L10-R10	weightsNONE	none	L7-R7	diceM	22.58
deny.v.10-10.weightsNONE.7-7.LLR	0.250382943403	-0.129854757242	L10-R10	weightsNONE	none	L7-R7	dir_lik_stat	27.06
deny.v.10-10.weightsNONE.7-7.pospmi	-0.0644957634348	0.890255555519	L10-R10	weightsNONE	none	L7-R7	pospmi	22.94
deny.v.10-10.weightsNONE.7-7.tScore	1.02151465544	1.04365098409	L10-R10	weightsNONE	none	L7-R7	tScore	24.71
deny.v.20-20.weightsNONE.10-10.diceM	0.220946483427	0.288593102639	L20-R20	weightsNONE	none	L10-R10	diceM	17.78
deny.v.20-20.weightsNONE.10-10.LLR	1.07488415747	0.159100209253	L20-R20	weightsNONE	none	L10-R10	dir_lik_stat	27.21
deny.v.20-20.weightsNONE.10-10.pospmi	0.188025169085	0.039438406	L20-R20	weightsNONE	none	L10-R10	pospmi	21.20
deny.v.20-20.weightsNONE.10-10.tScore	0.364682343471	-0.175560030606	L20-R20	weightsNONE	none	L10-R10	tScore	23.74
deny.v.20-20.weightsNONE.2-2.diceM	0.482642908902	0.484870499298	L20-R20	weightsNONE	none	L2-R2	diceM	22.38
deny.v.20-20.weightsNONE.2-2.LLR	0.643618291139	0.238769390655	L20-R20	weightsNONE	none	L2-R2	dir_lik_stat	32.23
deny.v.20-20.weightsNONE.2-2.pospmi	0.240204262924	0.703750509327	L20-R20	weightsNONE	none	L2-R2	pospmi	23.63
deny.v.20-20.weightsNONE.2-2.tScore	0.118091581802	0.200232037001	L20-R20	weightsNONE	none	L2-R2	tScore	29.25
deny.v.20-20.weightsNONE.4-4.diceM	0.61771281491	0.49833254026	L20-R20	weightsNONE	none	L4-R4	diceM	20.12
deny.v.20-20.weightsNONE.4-4.LLR	0.816731644018	0.915808823846	L20-R20	weightsNONE	none	L4-R4	dir_lik_stat	30.66
deny.v.20-20.weightsNONE.4-4.pospmi	0.679811355392	0.0692355582096	L20-R20	weightsNONE	none	L4-R4	pospmi	22.25
deny.v.20-20.weightsNONE.4-4.tScore	0.531253680896	0.140824673772	L20-R20	weightsNONE	none	L4-R4	tScore	28.86
deny.v.20-20.weightsNONE.7-7.diceM	0.488997123342	0.830063284818	L20-R20	weightsNONE	none	L7-R7	diceM	18.70
