_id	model.x	model.y	contextWindow	FirstOrderWeighting	BNCweighting	SecondOrderWindow	SecondOrderScore	stress
field.n.10-10.weightsNONE.10-10.diceM	5.63058700723	7.07990991675	L10-R10	weightsNONE	none	L10-R10	diceM	17.67
field.n.10-10.weightsNONE.10-10.LLR	-0.283392381515	6.60111689008	L10-R10	weightsNONE	none	L10-R10	LLR	27.50
field.n.10-10.weightsNONE.10-10.pospmi	-0.62733148487	2.02246175717	L10-R10	weightsNONE	none	L10-R10	pospmi	22.80
field.n.10-10.weightsNONE.10-10.tScore	0.367966240601	4.88455212606	L10-R10	weightsNONE	none	L10-R10	tScore	23.02
field.n.10-10.weightsNONE.2-2.diceM	-9.94286064001	3.31884396601	L10-R10	weightsNONE	none	L2-R2	diceM	22.97
field.n.10-10.weightsNONE.2-2.LLR	-4.18285255326	11.0508305211	L10-R10	weightsNONE	none	L2-R2	LLR	33.16
field.n.10-10.weightsNONE.2-2.pospmi	-2.72625856492	2.59543267958	L10-R10	weightsNONE	none	L2-R2	pospmi	23.96
field.n.10-10.weightsNONE.2-2.tScore	0.651572426258	6.98035760001	L10-R10	weightsNONE	none	L2-R2	tScore	29.52
field.n.10-10.weightsNONE.4-4.diceM	11.6783646222	6.33854478371	L10-R10	weightsNONE	none	L4-R4	diceM	20.10
field.n.10-10.weightsNONE.4-4.LLR	0.725428803071	8.68289956618	L10-R10	weightsNONE	none	L4-R4	LLR	29.43
field.n.10-10.weightsNONE.4-4.pospmi	-1.74604662251	1.88673705386	L10-R10	weightsNONE	none	L4-R4	pospmi	22.82
field.n.10-10.weightsNONE.4-4.tScore	0.384091507183	5.93969823793	L10-R10	weightsNONE	none	L4-R4	tScore	26.95
field.n.10-10.weightsNONE.7-7.diceM	-4.19680709719	6.05294771551	L10-R10	weightsNONE	none	L7-R7	diceM	17.82
field.n.10-10.weightsNONE.7-7.LLR	-0.315034397719	7.29440829622	L10-R10	weightsNONE	none	L7-R7	LLR	28.98
field.n.10-10.weightsNONE.7-7.pospmi	-0.0743009716678	3.9415109921	L10-R10	weightsNONE	none	L7-R7	pospmi	22.62
field.n.10-10.weightsNONE.7-7.tScore	0.498315927028	5.42083352626	L10-R10	weightsNONE	none	L7-R7	tScore	24.46
field.n.20-20.weightsNONE.10-10.diceM	-5.0950294269	5.51958109218	L20-R20	weightsNONE	none	L10-R10	diceM	20.42
field.n.20-20.weightsNONE.10-10.LLR	-0.531507872961	8.50031167956	L20-R20	weightsNONE	none	L10-R10	LLR	29.38
field.n.20-20.weightsNONE.10-10.pospmi	-3.93856561901	1.94825470358	L20-R20	weightsNONE	none	L10-R10	pospmi	22.15
field.n.20-20.weightsNONE.10-10.tScore	-1.81002346245	3.62532000524	L20-R20	weightsNONE	none	L10-R10	tScore	22.84
field.n.20-20.weightsNONE.2-2.diceM	-11.1624679826	8.40102558221	L20-R20	weightsNONE	none	L2-R2	diceM	21.82
field.n.20-20.weightsNONE.2-2.LLR	0.26368095046	13.0184608464	L20-R20	weightsNONE	none	L2-R2	LLR	32.49
field.n.20-20.weightsNONE.2-2.pospmi	-4.10158268322	1.72781663559	L20-R20	weightsNONE	none	L2-R2	pospmi	24.74
field.n.20-20.weightsNONE.2-2.tScore	-3.2153210089	9.7236138088	L20-R20	weightsNONE	none	L2-R2	tScore	29.36
field.n.20-20.weightsNONE.4-4.diceM	-3.89807367483	6.07460177922	L20-R20	weightsNONE	none	L4-R4	diceM	20.76
field.n.20-20.weightsNONE.4-4.LLR	-1.50039670918	11.0396146735	L20-R20	weightsNONE	none	L4-R4	LLR	30.75
field.n.20-20.weightsNONE.4-4.pospmi	-4.55342930214	2.25512246416	L20-R20	weightsNONE	none	L4-R4	pospmi	23.09
field.n.20-20.weightsNONE.4-4.tScore	-4.06019456218	4.61452158714	L20-R20	weightsNONE	none	L4-R4	tScore	26.13
field.n.20-20.weightsNONE.7-7.diceM	-4.0780827107	6.23715440172	L20-R20	weightsNONE	none	L7-R7	diceM	19.99
