_id	model.x	model.y	contextWindow	FirstOrderWeighting	BNCweighting	SecondOrderWindow	SecondOrderScore	stress
flight.n.10-10.weightsNONE.10-10.diceM	2.30959984833	6.16745171108	L10-R10	weightsNONE	none	L10-R10	diceM	19.26
flight.n.10-10.weightsNONE.10-10.LLR	4.8400203765	0.820177155481	L10-R10	weightsNONE	none	L10-R10	dir_lik_stat	27.63
flight.n.10-10.weightsNONE.10-10.pospmi	2.44988325611	4.31514116107	L10-R10	weightsNONE	none	L10-R10	pospmi	25.13
flight.n.10-10.weightsNONE.10-10.tScore	3.810188711	0.951653985256	L10-R10	weightsNONE	none	L10-R10	tScore	24.93
flight.n.10-10.weightsNONE.2-2.diceM	5.94063684265	-1.70061818488	L10-R10	weightsNONE	none	L2-R2	diceM	21.77
flight.n.10-10.weightsNONE.2-2.LLR	4.28977579829	-3.47015626355	L10-R10	weightsNONE	none	L2-R2	dir_lik_stat	30.72
flight.n.10-10.weightsNONE.2-2.pospmi	2.07102731431	4.66010659577	L10-R10	weightsNONE	none	L2-R2	pospmi	27.32
flight.n.10-10.weightsNONE.2-2.tScore	4.65228600469	-0.52753911505	L10-R10	weightsNONE	none	L2-R2	tScore	28.22
flight.n.10-10.weightsNONE.4-4.diceM	4.73697796489	-1.71913793201	L10-R10	weightsNONE	none	L4-R4	diceM	18.95
flight.n.10-10.weightsNONE.4-4.LLR	4.80058824621	-1.14468961071	L10-R10	weightsNONE	none	L4-R4	dir_lik_stat	29.39
flight.n.10-10.weightsNONE.4-4.pospmi	2.91071913731	2.95194782901	L10-R10	weightsNONE	none	L4-R4	pospmi	26.54
flight.n.10-10.weightsNONE.4-4.tScore	4.22013465872	0.365374793478	L10-R10	weightsNONE	none	L4-R4	tScore	25.81
flight.n.10-10.weightsNONE.7-7.diceM	5.93710813372	0.285694772514	L10-R10	weightsNONE	none	L7-R7	diceM	19.53
flight.n.10-10.weightsNONE.7-7.LLR	5.27356991189	0.0056752991392	L10-R10	weightsNONE	none	L7-R7	dir_lik_stat	27.63
flight.n.10-10.weightsNONE.7-7.pospmi	1.25207962009	3.6083805976	L10-R10	weightsNONE	none	L7-R7	pospmi	25.54
flight.n.10-10.weightsNONE.7-7.tScore	3.98770973296	0.506763547319	L10-R10	weightsNONE	none	L7-R7	tScore	24.48
flight.n.20-20.weightsNONE.10-10.diceM	5.19998029327	1.37425967487	L20-R20	weightsNONE	none	L10-R10	diceM	20.96
flight.n.20-20.weightsNONE.10-10.LLR	3.98225642514	0.654598763777	L20-R20	weightsNONE	none	L10-R10	dir_lik_stat	26.16
flight.n.20-20.weightsNONE.10-10.pospmi	2.14486146248	4.44380844432	L20-R20	weightsNONE	none	L10-R10	pospmi	23.56
flight.n.20-20.weightsNONE.10-10.tScore	3.5438091495	2.47495383838	L20-R20	weightsNONE	none	L10-R10	tScore	23.01
flight.n.20-20.weightsNONE.2-2.diceM	4.93495113714	-2.34882050641	L20-R20	weightsNONE	none	L2-R2	diceM	21.63
flight.n.20-20.weightsNONE.2-2.LLR	3.07489775209	-3.69169470122	L20-R20	weightsNONE	none	L2-R2	dir_lik_stat	29.42
flight.n.20-20.weightsNONE.2-2.pospmi	2.89435301361	4.4813165205	L20-R20	weightsNONE	none	L2-R2	pospmi	25.61
flight.n.20-20.weightsNONE.2-2.tScore	3.49583003447	-0.419628946478	L20-R20	weightsNONE	none	L2-R2	tScore	26.94
flight.n.20-20.weightsNONE.4-4.diceM	5.99697968726	0.021546473454	L20-R20	weightsNONE	none	L4-R4	diceM	20.37
flight.n.20-20.weightsNONE.4-4.LLR	3.38753165397	-0.815109267803	L20-R20	weightsNONE	none	L4-R4	dir_lik_stat	28.36
flight.n.20-20.weightsNONE.4-4.pospmi	3.02911694489	1.99921280749	L20-R20	weightsNONE	none	L4-R4	pospmi	24.73
flight.n.20-20.weightsNONE.4-4.tScore	2.77389228487	0.692165577417	L20-R20	weightsNONE	none	L4-R4	tScore	26.10
flight.n.20-20.weightsNONE.7-7.diceM	5.99461919729	1.36747592311	L20-R20	weightsNONE	none	L7-R7	diceM	20.39
flight.n.20-20.weightsNONE.7-7.LLR	3.08775103775	-0.401702409103	L20-R20	weightsNONE	none	L7-R7	dir_lik_stat	27.13
flight.n.20-20.weightsNONE.7-7.pospmi	1.73070955182	4.01013013887	L20-R20	weightsNONE	none	L7-R7	pospmi	22.78
flight.n.20-20.weightsNONE.7-7.tScore	3.3199094394	1.83816164733	L20-R20	weightsNONE	none	L7-R7	tScore	25.29
flight.n.40-40.weightsNONE.10-10.diceM	5.12492202269	3.23537040197	L40-R40	weightsNONE	none	L10-R10	diceM	20.07
flight.n.40-40.weightsNONE.10-10.LLR	4.17548646345	0.830661778563	L40-R40	weightsNONE	none	L10-R10	dir_lik_stat	26.18
flight.n.40-40.weightsNONE.10-10.pospmi	4.22283327333	4.9979389767	L40-R40	weightsNONE	none	L10-R10	pospmi	20.59
flight.n.40-40.weightsNONE.10-10.tScore	4.18320760745	4.11872290709	L40-R40	weightsNONE	none	L10-R10	tScore	22.00
flight.n.40-40.weightsNONE.2-2.diceM	5.37204110538	-1.93798077726	L40-R40	weightsNONE	none	L2-R2	diceM	20.12
flight.n.40-40.weightsNONE.2-2.LLR	4.90267517616	-1.90607286286	L40-R40	weightsNONE	none	L2-R2	dir_lik_stat	27.68
flight.n.40-40.weightsNONE.2-2.pospmi	5.13560533081	3.01086865869	L40-R40	weightsNONE	none	L2-R2	pospmi	22.33
flight.n.40-40.weightsNONE.2-2.tScore	4.0675209306	0.0395122377602	L40-R40	weightsNONE	none	L2-R2	tScore	25.98
flight.n.40-40.weightsNONE.4-4.diceM	6.82974490821	0.989836957816	L40-R40	weightsNONE	none	L4-R4	diceM	18.60
flight.n.40-40.weightsNONE.4-4.LLR	3.80507472966	-2.18669181175	L40-R40	weightsNONE	none	L4-R4	dir_lik_stat	27.77
flight.n.40-40.weightsNONE.4-4.pospmi	3.86047504309	5.35552387093	L40-R40	weightsNONE	none	L4-R4	pospmi	21.50
flight.n.40-40.weightsNONE.4-4.tScore	3.98602698671	1.3880088956	L40-R40	weightsNONE	none	L4-R4	tScore	25.21
flight.n.40-40.weightsNONE.7-7.diceM	5.89013190546	2.54399169907	L40-R40	weightsNONE	none	L7-R7	diceM	18.31
flight.n.40-40.weightsNONE.7-7.LLR	4.24940222269	2.67459891883	L40-R40	weightsNONE	none	L7-R7	dir_lik_stat	27.70
flight.n.40-40.weightsNONE.7-7.pospmi	3.49970788257	4.32070903907	L40-R40	weightsNONE	none	L7-R7	pospmi	21.41
