_id	model.x	model.y	contextWindow	FirstOrderWeighting	BNCweighting	SecondOrderWindow	SecondOrderScore	stress
house.n.10-10.weightsNONE.10-10.diceM	-1.88426942542	1.39161488454	L10-R10	weightsNONE	none	L10-R10	diceM	21.97
house.n.10-10.weightsNONE.10-10.LLR	-1.97773737992	2.73240306049	L10-R10	weightsNONE	none	L10-R10	dir_lik_stat	30.77
house.n.10-10.weightsNONE.10-10.pospmi	-0.858543981165	2.61623381014	L10-R10	weightsNONE	none	L10-R10	pospmi	24.43
house.n.10-10.weightsNONE.10-10.tScore	-1.43885917729	2.19286720477	L10-R10	weightsNONE	none	L10-R10	tScore	28.72
house.n.10-10.weightsNONE.2-2.diceM	-2.14036752915	-3.20046305786	L10-R10	weightsNONE	none	L2-R2	diceM	23.36
house.n.10-10.weightsNONE.2-2.LLR	7.29822045963	4.84016809313	L10-R10	weightsNONE	none	L2-R2	dir_lik_stat	41.60
house.n.10-10.weightsNONE.2-2.pospmi	-1.67632451886	3.23047876244	L10-R10	weightsNONE	none	L2-R2	pospmi	26.86
house.n.10-10.weightsNONE.2-2.tScore	-1.772996338	2.45684035637	L10-R10	weightsNONE	none	L2-R2	tScore	31.62
house.n.10-10.weightsNONE.4-4.diceM	-0.956869138402	-2.59297358081	L10-R10	weightsNONE	none	L4-R4	diceM	22.28
house.n.10-10.weightsNONE.4-4.LLR	-2.21339634413	2.80502528429	L10-R10	weightsNONE	none	L4-R4	dir_lik_stat	33.51
house.n.10-10.weightsNONE.4-4.pospmi	-1.25248992489	2.92738976424	L10-R10	weightsNONE	none	L4-R4	pospmi	24.57
house.n.10-10.weightsNONE.4-4.tScore	-1.75273284851	2.2718624983	L10-R10	weightsNONE	none	L4-R4	tScore	30.43
house.n.10-10.weightsNONE.7-7.diceM	-3.38534987454	-0.520926321081	L10-R10	weightsNONE	none	L7-R7	diceM	21.65
house.n.10-10.weightsNONE.7-7.LLR	-1.94966425323	-6.54474149392	L10-R10	weightsNONE	none	L7-R7	dir_lik_stat	41.59
house.n.10-10.weightsNONE.7-7.pospmi	-1.36267052863	2.68531222751	L10-R10	weightsNONE	none	L7-R7	pospmi	24.59
house.n.10-10.weightsNONE.7-7.tScore	-1.11467954548	2.33819286345	L10-R10	weightsNONE	none	L7-R7	tScore	28.91
house.n.20-20.weightsNONE.10-10.diceM	-1.88736354822	0.62896885354	L20-R20	weightsNONE	none	L10-R10	diceM	19.75
house.n.20-20.weightsNONE.10-10.LLR	-2.31630058677	0.757622482663	L20-R20	weightsNONE	none	L10-R10	dir_lik_stat	30.06
house.n.20-20.weightsNONE.10-10.pospmi	-1.14935023945	1.69897316084	L20-R20	weightsNONE	none	L10-R10	pospmi	21.62
house.n.20-20.weightsNONE.10-10.tScore	-1.92194469679	1.87784218068	L20-R20	weightsNONE	none	L10-R10	tScore	26.18
house.n.20-20.weightsNONE.2-2.diceM	-3.01126814026	-1.97497816211	L20-R20	weightsNONE	none	L2-R2	diceM	22.20
house.n.20-20.weightsNONE.2-2.LLR	-2.88685242167	-2.62852332731	L20-R20	weightsNONE	none	L2-R2	dir_lik_stat	32.93
house.n.20-20.weightsNONE.2-2.pospmi	-1.63256803655	2.35369279053	L20-R20	weightsNONE	none	L2-R2	pospmi	23.12
house.n.20-20.weightsNONE.2-2.tScore	-2.68504633614	0.795823240709	L20-R20	weightsNONE	none	L2-R2	tScore	31.58
house.n.20-20.weightsNONE.4-4.diceM	-1.98105829838	-0.315159504424	L20-R20	weightsNONE	none	L4-R4	diceM	21.10
house.n.20-20.weightsNONE.4-4.LLR	-2.58950412656	0.875719398904	L20-R20	weightsNONE	none	L4-R4	dir_lik_stat	31.53
house.n.20-20.weightsNONE.4-4.pospmi	-1.34622256399	1.99665742907	L20-R20	weightsNONE	none	L4-R4	pospmi	21.38
house.n.20-20.weightsNONE.4-4.tScore	-1.99256496904	1.70794776773	L20-R20	weightsNONE	none	L4-R4	tScore	30.76
house.n.20-20.weightsNONE.7-7.diceM	-2.61066832636	0.0113345066035	L20-R20	weightsNONE	none	L7-R7	diceM	20.84
house.n.20-20.weightsNONE.7-7.LLR	-2.25427025911	0.849800108813	L20-R20	weightsNONE	none	L7-R7	dir_lik_stat	30.69
house.n.20-20.weightsNONE.7-7.pospmi	-1.23402524712	1.96071133319	L20-R20	weightsNONE	none	L7-R7	pospmi	22.60
house.n.20-20.weightsNONE.7-7.tScore	-1.97468914062	1.45817919102	L20-R20	weightsNONE	none	L7-R7	tScore	27.27
house.n.40-40.weightsNONE.10-10.diceM	-2.22788209946	1.66178530677	L40-R40	weightsNONE	none	L10-R10	diceM	19.98
house.n.40-40.weightsNONE.10-10.LLR	-2.49834545377	0.38624187594	L40-R40	weightsNONE	none	L10-R10	dir_lik_stat	28.95
house.n.40-40.weightsNONE.10-10.pospmi	-1.47195043067	1.79752327273	L40-R40	weightsNONE	none	L10-R10	pospmi	20.41
house.n.40-40.weightsNONE.10-10.tScore	-1.35491486489	1.39163970163	L40-R40	weightsNONE	none	L10-R10	tScore	24.20
house.n.40-40.weightsNONE.2-2.diceM	-3.45831268628	-2.70150860238	L40-R40	weightsNONE	none	L2-R2	diceM	22.17
house.n.40-40.weightsNONE.2-2.LLR	-4.06906166845	-4.59951374743	L40-R40	weightsNONE	none	L2-R2	dir_lik_stat	32.20
house.n.40-40.weightsNONE.2-2.pospmi	-1.98737094052	1.93261097963	L40-R40	weightsNONE	none	L2-R2	pospmi	22.04
house.n.40-40.weightsNONE.2-2.tScore	-2.15499212462	-0.703019772471	L40-R40	weightsNONE	none	L2-R2	tScore	30.83
house.n.40-40.weightsNONE.4-4.diceM	-2.40717155763	-0.687403649867	L40-R40	weightsNONE	none	L4-R4	diceM	21.14
house.n.40-40.weightsNONE.4-4.LLR	-4.38600212057	-0.698099671492	L40-R40	weightsNONE	none	L4-R4	dir_lik_stat	31.61
house.n.40-40.weightsNONE.4-4.pospmi	-1.60232830976	1.77275075095	L40-R40	weightsNONE	none	L4-R4	pospmi	20.21
house.n.40-40.weightsNONE.4-4.tScore	-1.53669886107	1.04719584137	L40-R40	weightsNONE	none	L4-R4	tScore	28.86
house.n.40-40.weightsNONE.7-7.diceM	-2.71791945032	1.68473612779	L40-R40	weightsNONE	none	L7-R7	diceM	20.86
house.n.40-40.weightsNONE.7-7.LLR	-2.7333808415	0.511309839631	L40-R40	weightsNONE	none	L7-R7	dir_lik_stat	30.05
house.n.40-40.weightsNONE.7-7.pospmi	-1.76930898026	1.99994806988	L40-R40	weightsNONE	none	L7-R7	pospmi	20.37
house.n.40-40.weightsNONE.7-7.tScore	-1.49494621042	1.50022379746	L40-R40	weightsNONE	none	L7-R7	tScore	25.81
house.n.10-10.weightsBNC-2-2pospmi.10-10.diceM	3.04357990662	3.89835393827	L10-R10	weightsBNC-2-2pospmi	BNC	L10-R10	diceM	20.52
house.n.10-10.weightsBNC-2-2pospmi.10-10.LLR	0.74362475441	3.01227184655	L10-R10	weightsBNC-2-2pospmi	BNC	L10-R10	dir_lik_stat	28.96
house.n.10-10.weightsBNC-2-2pospmi.10-10.pospmi	1.24395879461	2.76022565397	L10-R10	weightsBNC-2-2pospmi	BNC	L10-R10	pospmi	24.55
house.n.10-10.weightsBNC-2-2pospmi.10-10.tScore	0.713105945746	2.66165560253	L10-R10	weightsBNC-2-2pospmi	BNC	L10-R10	tScore	25.52
house.n.10-10.weightsBNC-2-2pospmi.2-2.diceM	3.3620803757	1.98805492697	L10-R10	weightsBNC-2-2pospmi	BNC	L2-R2	diceM	25.20
house.n.10-10.weightsBNC-2-2pospmi.2-2.LLR	-3.40604119773	1.98518714576	L10-R10	weightsBNC-2-2pospmi	BNC	L2-R2	dir_lik_stat	32.84
house.n.10-10.weightsBNC-2-2pospmi.2-2.pospmi	1.22091836813	3.22813367201	L10-R10	weightsBNC-2-2pospmi	BNC	L2-R2	pospmi	25.39
