_id	model.x	model.y	contextWindow	FirstOrderWeighting	BNCweighting	SecondOrderWindow	SecondOrderScore	stress
idea.n.10-10.weightsNONE.10-10.diceM	0.65741823759	1.02837975505	L10-R10	weightsNONE	none	L10-R10	diceM	16.43
idea.n.10-10.weightsNONE.10-10.LLR	0.0409520088854	0.830804064563	L10-R10	weightsNONE	none	L10-R10	LLR	32.37
idea.n.10-10.weightsNONE.10-10.pospmi	0.838228635427	0.572646348926	L10-R10	weightsNONE	none	L10-R10	pospmi	23.30
idea.n.10-10.weightsNONE.10-10.tScore	0.949790433153	0.972553384288	L10-R10	weightsNONE	none	L10-R10	tScore	27.58
idea.n.10-10.weightsNONE.2-2.diceM	0.386029679134	0.14405675516	L10-R10	weightsNONE	none	L2-R2	diceM	26.99
idea.n.10-10.weightsNONE.2-2.LLR	0.545547275658	0.478129013328	L10-R10	weightsNONE	none	L2-R2	LLR	41.61
idea.n.10-10.weightsNONE.2-2.pospmi	0.757614879126	0.800229605834	L10-R10	weightsNONE	none	L2-R2	pospmi	25.57
idea.n.10-10.weightsNONE.2-2.tScore	0.526757832583	0.531478393894	L10-R10	weightsNONE	none	L2-R2	tScore	41.47
idea.n.10-10.weightsNONE.4-4.diceM	0.279747472535	0.830730635065	L10-R10	weightsNONE	none	L4-R4	diceM	22.32
idea.n.10-10.weightsNONE.4-4.LLR	0.474728755338	0.554842312965	L10-R10	weightsNONE	none	L4-R4	LLR	41.58
idea.n.10-10.weightsNONE.4-4.pospmi	0.633220278308	0.796602774857	L10-R10	weightsNONE	none	L4-R4	pospmi	24.87
idea.n.10-10.weightsNONE.4-4.tScore	0.260359198958	-0.0324716481885	L10-R10	weightsNONE	none	L4-R4	tScore	30.32
idea.n.10-10.weightsNONE.7-7.diceM	0.946341973069	0.701032804721	L10-R10	weightsNONE	none	L7-R7	diceM	18.53
idea.n.10-10.weightsNONE.7-7.LLR	0.502636909831	0.467427265563	L10-R10	weightsNONE	none	L7-R7	LLR	41.50
idea.n.10-10.weightsNONE.7-7.pospmi	0.0555328730453	0.530024604285	L10-R10	weightsNONE	none	L7-R7	pospmi	23.23
idea.n.10-10.weightsNONE.7-7.tScore	0.514964533121	0.569608838199	L10-R10	weightsNONE	none	L7-R7	tScore	41.45
idea.n.20-20.weightsNONE.10-10.diceM	1.03316116229	0.600390284577	L20-R20	weightsNONE	none	L10-R10	diceM	18.07
idea.n.20-20.weightsNONE.10-10.LLR	0.501650823967	0.511854559544	L20-R20	weightsNONE	none	L10-R10	LLR	41.52
idea.n.20-20.weightsNONE.10-10.pospmi	0.275970837746	0.344352214819	L20-R20	weightsNONE	none	L10-R10	pospmi	21.94
idea.n.20-20.weightsNONE.10-10.tScore	0.500048906537	-0.090961753662	L20-R20	weightsNONE	none	L10-R10	tScore	27.03
idea.n.20-20.weightsNONE.2-2.diceM	0.789812770065	0.477982327426	L20-R20	weightsNONE	none	L2-R2	diceM	24.07
idea.n.20-20.weightsNONE.2-2.LLR	0.147144912795	0.740722614684	L20-R20	weightsNONE	none	L2-R2	LLR	35.72
idea.n.20-20.weightsNONE.2-2.pospmi	0.857204499168	0.818162283896	L20-R20	weightsNONE	none	L2-R2	pospmi	23.26
idea.n.20-20.weightsNONE.2-2.tScore	0.469324014077	1.0705031007	L20-R20	weightsNONE	none	L2-R2	tScore	32.00
idea.n.20-20.weightsNONE.4-4.diceM	0.802775356874	0.17910600255	L20-R20	weightsNONE	none	L4-R4	diceM	21.57
idea.n.20-20.weightsNONE.4-4.LLR	0.250347276999	0.985404796189	L20-R20	weightsNONE	none	L4-R4	LLR	33.47
idea.n.20-20.weightsNONE.4-4.pospmi	0.145332938703	0.331287809821	L20-R20	weightsNONE	none	L4-R4	pospmi	22.63
idea.n.20-20.weightsNONE.4-4.tScore	0.789019055751	-0.0162531180974	L20-R20	weightsNONE	none	L4-R4	tScore	29.24
idea.n.20-20.weightsNONE.7-7.diceM	0.529022167123	0.888472170474	L20-R20	weightsNONE	none	L7-R7	diceM	19.04
idea.n.20-20.weightsNONE.7-7.LLR	0.556832959294	1.1273419777	L20-R20	weightsNONE	none	L7-R7	LLR	32.69
idea.n.20-20.weightsNONE.7-7.pospmi	0.651299084321	0.293292318769	L20-R20	weightsNONE	none	L7-R7	pospmi	21.61
idea.n.20-20.weightsNONE.7-7.tScore	-0.0767516013984	0.66885745797	L20-R20	weightsNONE	none	L7-R7	tScore	28.08
idea.n.40-40.weightsNONE.10-10.diceM	1.07900252577	0.510645601875	L40-R40	weightsNONE	none	L10-R10	diceM	21.90
idea.n.40-40.weightsNONE.10-10.LLR	0.35006871355	0.236340319613	L40-R40	weightsNONE	none	L10-R10	LLR	32.52
idea.n.40-40.weightsNONE.10-10.pospmi	0.921632148782	0.40299175264	L40-R40	weightsNONE	none	L10-R10	pospmi	21.63
idea.n.40-40.weightsNONE.10-10.tScore	0.590187245006	0.0384538656844	L40-R40	weightsNONE	none	L10-R10	tScore	26.74
idea.n.40-40.weightsNONE.2-2.diceM	0.398882645339	0.467788049011	L40-R40	weightsNONE	none	L2-R2	diceM	23.53
idea.n.40-40.weightsNONE.2-2.LLR	0.774074437317	0.401768816197	L40-R40	weightsNONE	none	L2-R2	LLR	33.28
idea.n.40-40.weightsNONE.2-2.pospmi	0.746931643791	0.251008720971	L40-R40	weightsNONE	none	L2-R2	pospmi	23.55
idea.n.40-40.weightsNONE.2-2.tScore	0.244303726279	0.523904072084	L40-R40	weightsNONE	none	L2-R2	tScore	30.52
idea.n.40-40.weightsNONE.4-4.diceM	0.570051067077	0.397533521343	L40-R40	weightsNONE	none	L4-R4	diceM	21.83
idea.n.40-40.weightsNONE.4-4.LLR	0.507295285793	0.751856340596	L40-R40	weightsNONE	none	L4-R4	LLR	32.93
idea.n.40-40.weightsNONE.4-4.pospmi	0.574473842741	0.231857465725	L40-R40	weightsNONE	none	L4-R4	pospmi	22.58
idea.n.40-40.weightsNONE.4-4.tScore	0.226479947973	0.19020044038	L40-R40	weightsNONE	none	L4-R4	tScore	29.19
idea.n.40-40.weightsNONE.7-7.diceM	0.0470355592389	0.385162025458	L40-R40	weightsNONE	none	L7-R7	diceM	22.45
idea.n.40-40.weightsNONE.7-7.LLR	0.378148258072	0.730247075401	L40-R40	weightsNONE	none	L7-R7	LLR	31.86
idea.n.40-40.weightsNONE.7-7.pospmi	0.448680607867	0.25859847879	L40-R40	weightsNONE	none	L7-R7	pospmi	22.17
idea.n.40-40.weightsNONE.7-7.tScore	0.113291079558	0.883509866918	L40-R40	weightsNONE	none	L7-R7	tScore	27.59
idea.n.10-10.weightsBNC-2-2pospmi.10-10.diceM	0.656910475727	0.741153773891	L10-R10	weightsBNC-2-2pospmi	BNC	L10-R10	diceM	18.34
idea.n.10-10.weightsBNC-2-2pospmi.10-10.LLR	0.839622422408	1.20667008758	L10-R10	weightsBNC-2-2pospmi	BNC	L10-R10	LLR	25.50
idea.n.10-10.weightsBNC-2-2pospmi.10-10.pospmi	0.00369545828191	0.994574050525	L10-R10	weightsBNC-2-2pospmi	BNC	L10-R10	pospmi	23.31
idea.n.10-10.weightsBNC-2-2pospmi.10-10.tScore	0.752293889262	-0.177268989561	L10-R10	weightsBNC-2-2pospmi	BNC	L10-R10	tScore	22.75
idea.n.10-10.weightsBNC-2-2pospmi.2-2.diceM	0.502900234083	0.159864692371	L10-R10	weightsBNC-2-2pospmi	BNC	L2-R2	diceM	24.99
idea.n.10-10.weightsBNC-2-2pospmi.2-2.LLR	0.414426116757	0.871215014121	L10-R10	weightsBNC-2-2pospmi	BNC	L2-R2	LLR	32.26
idea.n.10-10.weightsBNC-2-2pospmi.2-2.pospmi	0.431265713676	1.17435120238	L10-R10	weightsBNC-2-2pospmi	BNC	L2-R2	pospmi	25.10
idea.n.10-10.weightsBNC-2-2pospmi.2-2.tScore	1.08293677086	0.119512650373	L10-R10	weightsBNC-2-2pospmi	BNC	L2-R2	tScore	30.80
idea.n.10-10.weightsBNC-2-2pospmi.4-4.diceM	0.770239943467	0.684350896738	L10-R10	weightsBNC-2-2pospmi	BNC	L4-R4	diceM	22.14
idea.n.10-10.weightsBNC-2-2pospmi.4-4.LLR	1.08027828774	0.835888101141	L10-R10	weightsBNC-2-2pospmi	BNC	L4-R4	LLR	29.84
idea.n.10-10.weightsBNC-2-2pospmi.4-4.pospmi	-0.0396390746121	0.877969790457	L10-R10	weightsBNC-2-2pospmi	BNC	L4-R4	pospmi	24.61
idea.n.10-10.weightsBNC-2-2pospmi.4-4.tScore	-0.177571269774	0.20568362674	L10-R10	weightsBNC-2-2pospmi	BNC	L4-R4	tScore	26.68
idea.n.10-10.weightsBNC-2-2pospmi.7-7.diceM	0.288564042538	0.694839642786	L10-R10	weightsBNC-2-2pospmi	BNC	L7-R7	diceM	19.98
idea.n.10-10.weightsBNC-2-2pospmi.7-7.LLR	0.301361206971	-0.17128283071	L10-R10	weightsBNC-2-2pospmi	BNC	L7-R7	LLR	27.31
idea.n.10-10.weightsBNC-2-2pospmi.7-7.pospmi	1.00826787377	0.897710843446	L10-R10	weightsBNC-2-2pospmi	BNC	L7-R7	pospmi	23.66
idea.n.10-10.weightsBNC-2-2pospmi.7-7.tScore	0.982042194484	-0.0255658241528	L10-R10	weightsBNC-2-2pospmi	BNC	L7-R7	tScore	23.54
idea.n.10-10.weightsBNC-4-4pospmi.10-10.diceM	0.313341483345	0.816380043006	L10-R10	weightsBNC-4-4pospmi	BNC	L10-R10	diceM	13.75
idea.n.10-10.weightsBNC-4-4pospmi.10-10.LLR	-0.146459865619	0.599817327455	L10-R10	weightsBNC-4-4pospmi	BNC	L10-R10	LLR	26.36
idea.n.10-10.weightsBNC-4-4pospmi.10-10.pospmi	0.0693654293734	-0.063181185156	L10-R10	weightsBNC-4-4pospmi	BNC	L10-R10	pospmi	23.34
idea.n.10-10.weightsBNC-4-4pospmi.10-10.tScore	1.24904290535	0.504134804142	L10-R10	weightsBNC-4-4pospmi	BNC	L10-R10	tScore	21.33
idea.n.10-10.weightsBNC-4-4pospmi.2-2.diceM	0.866005011593	0.596060399641	L10-R10	weightsBNC-4-4pospmi	BNC	L2-R2	diceM	23.53
idea.n.10-10.weightsBNC-4-4pospmi.2-2.LLR	0.586746497591	1.03030394678	L10-R10	weightsBNC-4-4pospmi	BNC	L2-R2	LLR	32.79
idea.n.10-10.weightsBNC-4-4pospmi.2-2.pospmi	1.0773017522	0.296558269	L10-R10	weightsBNC-4-4pospmi	BNC	L2-R2	pospmi	25.63
idea.n.10-10.weightsBNC-4-4pospmi.2-2.tScore	-0.0138052093656	0.0457520514662	L10-R10	weightsBNC-4-4pospmi	BNC	L2-R2	tScore	30.16
idea.n.10-10.weightsBNC-4-4pospmi.4-4.diceM	0.811606158351	0.880498117667	L10-R10	weightsBNC-4-4pospmi	BNC	L4-R4	diceM	19.15
idea.n.10-10.weightsBNC-4-4pospmi.4-4.LLR	1.08918289675	0.928017904833	L10-R10	weightsBNC-4-4pospmi	BNC	L4-R4	LLR	29.38
idea.n.10-10.weightsBNC-4-4pospmi.4-4.pospmi	-0.181156502019	0.633072499878	L10-R10	weightsBNC-4-4pospmi	BNC	L4-R4	pospmi	24.67
