_id	model.x	model.y	contextWindow	FirstOrderWeighting	BNCweighting	SecondOrderWindow	SecondOrderScore	stress
insist.v.10-10.weightsNONE.10-10.diceM	-0.389758222399	-7.36819562415	L10-R10	weightsNONE	none	L10-R10	diceM	19.54
insist.v.10-10.weightsNONE.10-10.LLR	5.77357510551	-3.8652350384	L10-R10	weightsNONE	none	L10-R10	LLR	27.02
insist.v.10-10.weightsNONE.10-10.pospmi	2.04168897848	-3.63539795539	L10-R10	weightsNONE	none	L10-R10	pospmi	21.41
insist.v.10-10.weightsNONE.10-10.tScore	3.96845792466	-3.31433780097	L10-R10	weightsNONE	none	L10-R10	tScore	24.34
insist.v.10-10.weightsNONE.2-2.diceM	-2.07526617563	-9.15118960377	L10-R10	weightsNONE	none	L2-R2	diceM	25.02
insist.v.10-10.weightsNONE.2-2.LLR	7.31721190468	-5.25772257236	L10-R10	weightsNONE	none	L2-R2	LLR	32.32
insist.v.10-10.weightsNONE.2-2.pospmi	1.30038491117	-4.21788977685	L10-R10	weightsNONE	none	L2-R2	pospmi	23.19
insist.v.10-10.weightsNONE.2-2.tScore	4.10903484892	-3.24971130413	L10-R10	weightsNONE	none	L2-R2	tScore	30.93
insist.v.10-10.weightsNONE.4-4.diceM	-1.89110945614	-5.19014028597	L10-R10	weightsNONE	none	L4-R4	diceM	22.71
insist.v.10-10.weightsNONE.4-4.LLR	5.57393144655	-4.32884766712	L10-R10	weightsNONE	none	L4-R4	LLR	29.92
insist.v.10-10.weightsNONE.4-4.pospmi	1.48429426061	-3.1449388174	L10-R10	weightsNONE	none	L4-R4	pospmi	21.72
insist.v.10-10.weightsNONE.4-4.tScore	6.03681387736	-4.28130869759	L10-R10	weightsNONE	none	L4-R4	tScore	27.40
insist.v.10-10.weightsNONE.7-7.diceM	-4.97140500183	-8.0883195194	L10-R10	weightsNONE	none	L7-R7	diceM	21.90
insist.v.10-10.weightsNONE.7-7.LLR	5.87678618336	-4.61668735824	L10-R10	weightsNONE	none	L7-R7	LLR	28.56
insist.v.10-10.weightsNONE.7-7.pospmi	2.0212264396	-3.23631239381	L10-R10	weightsNONE	none	L7-R7	pospmi	21.87
insist.v.10-10.weightsNONE.7-7.tScore	4.88115966595	-4.23345635631	L10-R10	weightsNONE	none	L7-R7	tScore	26.82
insist.v.20-20.weightsNONE.10-10.diceM	-0.708273377558	-7.00727997971	L20-R20	weightsNONE	none	L10-R10	diceM	19.72
insist.v.20-20.weightsNONE.10-10.LLR	4.79524208768	-6.02568819447	L20-R20	weightsNONE	none	L10-R10	LLR	29.52
insist.v.20-20.weightsNONE.10-10.pospmi	0.483348340794	-3.53429728354	L20-R20	weightsNONE	none	L10-R10	pospmi	18.61
insist.v.20-20.weightsNONE.10-10.tScore	5.20753973321	-6.399546462	L20-R20	weightsNONE	none	L10-R10	tScore	23.08
insist.v.20-20.weightsNONE.2-2.diceM	-1.56263123421	-10.7613588579	L20-R20	weightsNONE	none	L2-R2	diceM	25.62
insist.v.20-20.weightsNONE.2-2.LLR	-11.7437089012	10.0610159992	L20-R20	weightsNONE	none	L2-R2	LLR	40.08
insist.v.20-20.weightsNONE.2-2.pospmi	0.338466409831	-4.50422913602	L20-R20	weightsNONE	none	L2-R2	pospmi	22.35
insist.v.20-20.weightsNONE.2-2.tScore	1.58938431431	-8.14886645796	L20-R20	weightsNONE	none	L2-R2	tScore	31.38
insist.v.20-20.weightsNONE.4-4.diceM	2.29643862243	-9.73288794376	L20-R20	weightsNONE	none	L4-R4	diceM	23.11
insist.v.20-20.weightsNONE.4-4.LLR	6.10620877694	-5.82022743875	L20-R20	weightsNONE	none	L4-R4	LLR	32.34
insist.v.20-20.weightsNONE.4-4.pospmi	0.44328677089	-3.92048085856	L20-R20	weightsNONE	none	L4-R4	pospmi	20.68
insist.v.20-20.weightsNONE.4-4.tScore	2.97834670214	-4.23347351628	L20-R20	weightsNONE	none	L4-R4	tScore	28.22
insist.v.20-20.weightsNONE.7-7.diceM	-2.27760090973	-6.61523913057	L20-R20	weightsNONE	none	L7-R7	diceM	21.77
insist.v.20-20.weightsNONE.7-7.LLR	6.12090684796	-6.36849121476	L20-R20	weightsNONE	none	L7-R7	LLR	30.73
insist.v.20-20.weightsNONE.7-7.pospmi	1.18387373557	-3.24732724058	L20-R20	weightsNONE	none	L7-R7	pospmi	21.05
insist.v.20-20.weightsNONE.7-7.tScore	3.43912650478	-5.20724586583	L20-R20	weightsNONE	none	L7-R7	tScore	24.49
insist.v.40-40.weightsNONE.10-10.diceM	-1.42591495945	-5.14454727171	L40-R40	weightsNONE	none	L10-R10	diceM	20.79
insist.v.40-40.weightsNONE.10-10.LLR	2.62773519056	-5.74706068448	L40-R40	weightsNONE	none	L10-R10	LLR	28.88
insist.v.40-40.weightsNONE.10-10.pospmi	0.679777529366	-2.77799038193	L40-R40	weightsNONE	none	L10-R10	pospmi	18.05
insist.v.40-40.weightsNONE.10-10.tScore	2.31041583322	-4.42062019949	L40-R40	weightsNONE	none	L10-R10	tScore	22.39
insist.v.40-40.weightsNONE.2-2.diceM	2.63117890516	-10.8335707977	L40-R40	weightsNONE	none	L2-R2	diceM	24.98
insist.v.40-40.weightsNONE.2-2.LLR	8.41200282454	-8.8140145335	L40-R40	weightsNONE	none	L2-R2	LLR	34.69
insist.v.40-40.weightsNONE.2-2.pospmi	0.0932814703744	-2.82065496058	L40-R40	weightsNONE	none	L2-R2	pospmi	21.47
insist.v.40-40.weightsNONE.2-2.tScore	1.64239048959	-4.71219165114	L40-R40	weightsNONE	none	L2-R2	tScore	30.88
insist.v.40-40.weightsNONE.4-4.diceM	-5.13682288186	-6.84260339215	L40-R40	weightsNONE	none	L4-R4	diceM	22.73
insist.v.40-40.weightsNONE.4-4.LLR	3.72351334965	-8.00946439155	L40-R40	weightsNONE	none	L4-R4	LLR	32.83
insist.v.40-40.weightsNONE.4-4.pospmi	0.255832766298	-3.24155658883	L40-R40	weightsNONE	none	L4-R4	pospmi	19.92
insist.v.40-40.weightsNONE.4-4.tScore	2.23137028306	-4.59131292778	L40-R40	weightsNONE	none	L4-R4	tScore	27.41
insist.v.40-40.weightsNONE.7-7.diceM	-2.04821874508	-7.34059861446	L40-R40	weightsNONE	none	L7-R7	diceM	22.50
insist.v.40-40.weightsNONE.7-7.LLR	3.53026610401	-5.77732789215	L40-R40	weightsNONE	none	L7-R7	LLR	30.14
insist.v.40-40.weightsNONE.7-7.pospmi	0.112871164341	-3.12109926274	L40-R40	weightsNONE	none	L7-R7	pospmi	19.06
insist.v.40-40.weightsNONE.7-7.tScore	2.07361087787	-3.52020407506	L40-R40	weightsNONE	none	L7-R7	tScore	24.01
insist.v.10-10.weightsBNC-2-2pospmi.10-10.diceM	-3.6661040049	8.71500427777	L10-R10	weightsBNC-2-2pospmi	BNC	L10-R10	diceM	17.96
insist.v.10-10.weightsBNC-2-2pospmi.10-10.LLR	5.23052874629	3.37765733457	L10-R10	weightsBNC-2-2pospmi	BNC	L10-R10	LLR	24.86
insist.v.10-10.weightsBNC-2-2pospmi.10-10.pospmi	3.39128746777	5.34414727623	L10-R10	weightsBNC-2-2pospmi	BNC	L10-R10	pospmi	22.35
insist.v.10-10.weightsBNC-2-2pospmi.10-10.tScore	4.88901171912	3.70841052002	L10-R10	weightsBNC-2-2pospmi	BNC	L10-R10	tScore	21.90
insist.v.10-10.weightsBNC-2-2pospmi.2-2.diceM	-3.44319499965	7.34950144759	L10-R10	weightsBNC-2-2pospmi	BNC	L2-R2	diceM	23.58
insist.v.10-10.weightsBNC-2-2pospmi.2-2.LLR	7.08424412996	2.69226891998	L10-R10	weightsBNC-2-2pospmi	BNC	L2-R2	LLR	32.33
insist.v.10-10.weightsBNC-2-2pospmi.2-2.pospmi	3.80566350468	5.71282009805	L10-R10	weightsBNC-2-2pospmi	BNC	L2-R2	pospmi	24.58
insist.v.10-10.weightsBNC-2-2pospmi.2-2.tScore	3.83342169774	3.23242352555	L10-R10	weightsBNC-2-2pospmi	BNC	L2-R2	tScore	28.35
insist.v.10-10.weightsBNC-2-2pospmi.4-4.diceM	-0.71585731292	7.54030808621	L10-R10	weightsBNC-2-2pospmi	BNC	L4-R4	diceM	20.96
insist.v.10-10.weightsBNC-2-2pospmi.4-4.LLR	5.74996503659	3.27925965154	L10-R10	weightsBNC-2-2pospmi	BNC	L4-R4	LLR	28.61
insist.v.10-10.weightsBNC-2-2pospmi.4-4.pospmi	3.53821070889	5.83415576168	L10-R10	weightsBNC-2-2pospmi	BNC	L4-R4	pospmi	23.75
insist.v.10-10.weightsBNC-2-2pospmi.4-4.tScore	4.14675814987	3.77888165065	L10-R10	weightsBNC-2-2pospmi	BNC	L4-R4	tScore	25.06
insist.v.10-10.weightsBNC-2-2pospmi.7-7.diceM	-4.4151936532	6.0907726276	L10-R10	weightsBNC-2-2pospmi	BNC	L7-R7	diceM	18.66
insist.v.10-10.weightsBNC-2-2pospmi.7-7.LLR	5.24122453517	3.25460063695	L10-R10	weightsBNC-2-2pospmi	BNC	L7-R7	LLR	26.01
insist.v.10-10.weightsBNC-2-2pospmi.7-7.pospmi	2.28513719638	5.98216876474	L10-R10	weightsBNC-2-2pospmi	BNC	L7-R7	pospmi	23.22
insist.v.10-10.weightsBNC-2-2pospmi.7-7.tScore	5.07106789911	3.62476006155	L10-R10	weightsBNC-2-2pospmi	BNC	L7-R7	tScore	23.07
insist.v.10-10.weightsBNC-4-4pospmi.10-10.diceM	-4.10498898805	5.64481572932	L10-R10	weightsBNC-4-4pospmi	BNC	L10-R10	diceM	21.49
insist.v.10-10.weightsBNC-4-4pospmi.10-10.LLR	5.5619741626	1.59448451435	L10-R10	weightsBNC-4-4pospmi	BNC	L10-R10	LLR	28.06
insist.v.10-10.weightsBNC-4-4pospmi.10-10.pospmi	4.42329272782	7.68949846278	L10-R10	weightsBNC-4-4pospmi	BNC	L10-R10	pospmi	25.94
insist.v.10-10.weightsBNC-4-4pospmi.10-10.tScore	3.95730461946	1.81513513506	L10-R10	weightsBNC-4-4pospmi	BNC	L10-R10	tScore	26.08
insist.v.10-10.weightsBNC-4-4pospmi.2-2.diceM	-1.89094735208	5.44191050242	L10-R10	weightsBNC-4-4pospmi	BNC	L2-R2	diceM	25.26
insist.v.10-10.weightsBNC-4-4pospmi.2-2.LLR	5.0503926136	1.57268538874	L10-R10	weightsBNC-4-4pospmi	BNC	L2-R2	LLR	31.36
