_id	model.x	model.y	contextWindow	FirstOrderWeighting	BNCweighting	SecondOrderWindow	SecondOrderScore	stress
lay.v.10-10.weightsNONE.10-10.diceM	8.54033575989	-2.61496012519	L10-R10	weightsNONE	none	L10-R10	diceM	20.22
lay.v.10-10.weightsNONE.10-10.LLR	6.88255133308	-1.91671288164	L10-R10	weightsNONE	none	L10-R10	LLR	24.83
lay.v.10-10.weightsNONE.10-10.pospmi	3.46210828801	-2.32272650267	L10-R10	weightsNONE	none	L10-R10	pospmi	18.76
lay.v.10-10.weightsNONE.10-10.tScore	5.13213393235	-2.19884644093	L10-R10	weightsNONE	none	L10-R10	tScore	21.46
lay.v.10-10.weightsNONE.2-2.diceM	9.75676710797	-1.91678334829	L10-R10	weightsNONE	none	L2-R2	diceM	24.36
lay.v.10-10.weightsNONE.2-2.LLR	9.51719979024	-1.04622721202	L10-R10	weightsNONE	none	L2-R2	LLR	31.44
lay.v.10-10.weightsNONE.2-2.pospmi	4.35599001138	-3.30813692726	L10-R10	weightsNONE	none	L2-R2	pospmi	22.77
lay.v.10-10.weightsNONE.2-2.tScore	6.68727000601	-3.44875459444	L10-R10	weightsNONE	none	L2-R2	tScore	27.67
lay.v.10-10.weightsNONE.4-4.diceM	8.15436411013	-3.65067995051	L10-R10	weightsNONE	none	L4-R4	diceM	21.75
lay.v.10-10.weightsNONE.4-4.LLR	7.6623542001	-1.87033329294	L10-R10	weightsNONE	none	L4-R4	LLR	28.41
lay.v.10-10.weightsNONE.4-4.pospmi	4.17506408705	-1.75433728121	L10-R10	weightsNONE	none	L4-R4	pospmi	21.55
lay.v.10-10.weightsNONE.4-4.tScore	5.05524687543	-2.25334605851	L10-R10	weightsNONE	none	L4-R4	tScore	25.96
lay.v.10-10.weightsNONE.7-7.diceM	8.62772270854	-0.697526974047	L10-R10	weightsNONE	none	L7-R7	diceM	20.24
lay.v.10-10.weightsNONE.7-7.LLR	6.64588955431	-0.840204182744	L10-R10	weightsNONE	none	L7-R7	LLR	25.91
lay.v.10-10.weightsNONE.7-7.pospmi	3.67809847372	-2.71062802174	L10-R10	weightsNONE	none	L7-R7	pospmi	19.85
lay.v.10-10.weightsNONE.7-7.tScore	5.19468953594	-1.98613082606	L10-R10	weightsNONE	none	L7-R7	tScore	22.27
lay.v.20-20.weightsNONE.10-10.diceM	3.78224161803	-5.92741827148	L20-R20	weightsNONE	none	L10-R10	diceM	18.69
lay.v.20-20.weightsNONE.10-10.LLR	5.49764586412	-3.54955680449	L20-R20	weightsNONE	none	L10-R10	LLR	27.03
lay.v.20-20.weightsNONE.10-10.pospmi	2.80043215624	-4.95981055257	L20-R20	weightsNONE	none	L10-R10	pospmi	17.08
lay.v.20-20.weightsNONE.10-10.tScore	3.78508906369	-3.53365948745	L20-R20	weightsNONE	none	L10-R10	tScore	19.13
lay.v.20-20.weightsNONE.2-2.diceM	6.85910182833	-8.08136334295	L20-R20	weightsNONE	none	L2-R2	diceM	23.24
lay.v.20-20.weightsNONE.2-2.LLR	9.3892335988	0.678508080317	L20-R20	weightsNONE	none	L2-R2	LLR	32.21
lay.v.20-20.weightsNONE.2-2.pospmi	2.70195186886	-5.30012650917	L20-R20	weightsNONE	none	L2-R2	pospmi	22.98
lay.v.20-20.weightsNONE.2-2.tScore	4.78037008599	-3.3598451093	L20-R20	weightsNONE	none	L2-R2	tScore	28.08
lay.v.20-20.weightsNONE.4-4.diceM	6.11085995174	-6.18775287331	L20-R20	weightsNONE	none	L4-R4	diceM	22.41
lay.v.20-20.weightsNONE.4-4.LLR	6.56821556938	-3.59513788845	L20-R20	weightsNONE	none	L4-R4	LLR	30.08
lay.v.20-20.weightsNONE.4-4.pospmi	3.32361214346	-4.40606665881	L20-R20	weightsNONE	none	L4-R4	pospmi	19.88
lay.v.20-20.weightsNONE.4-4.tScore	3.94145969846	-3.75379782685	L20-R20	weightsNONE	none	L4-R4	tScore	23.61
lay.v.20-20.weightsNONE.7-7.diceM	4.05523582905	-6.61165459148	L20-R20	weightsNONE	none	L7-R7	diceM	20.49
lay.v.20-20.weightsNONE.7-7.LLR	5.07899064801	-2.96218611903	L20-R20	weightsNONE	none	L7-R7	LLR	27.96
lay.v.20-20.weightsNONE.7-7.pospmi	3.04670817942	-4.69611021594	L20-R20	weightsNONE	none	L7-R7	pospmi	17.66
