_id	model.x	model.y	contextWindow	FirstOrderWeighting	BNCweighting	SecondOrderWindow	SecondOrderScore	stress
lie.v.10-10.weightsNONE.10-10.diceM	0.133599091352	-5.89565631532	L10-R10	weightsNONE	none	L10-R10	diceM	20.34
lie.v.10-10.weightsNONE.10-10.LLR	5.8404189182	0.0155651139803	L10-R10	weightsNONE	none	L10-R10	dir_lik_stat	29.41
lie.v.10-10.weightsNONE.10-10.pospmi	0.806630487246	-2.20260208772	L10-R10	weightsNONE	none	L10-R10	pospmi	21.97
lie.v.10-10.weightsNONE.10-10.tScore	3.64787380255	-0.576218775703	L10-R10	weightsNONE	none	L10-R10	tScore	24.64
lie.v.10-10.weightsNONE.2-2.diceM	1.81246222183	-6.12033110156	L10-R10	weightsNONE	none	L2-R2	diceM	25.51
lie.v.10-10.weightsNONE.2-2.LLR	8.29397241732	-0.0453664462655	L10-R10	weightsNONE	none	L2-R2	dir_lik_stat	36.14
lie.v.10-10.weightsNONE.2-2.pospmi	0.856320064561	2.84954390062	L10-R10	weightsNONE	none	L2-R2	pospmi	25.42
lie.v.10-10.weightsNONE.2-2.tScore	4.70125369588	-0.162221988176	L10-R10	weightsNONE	none	L2-R2	tScore	31.04
lie.v.10-10.weightsNONE.4-4.diceM	1.65476531349	-6.20129918081	L10-R10	weightsNONE	none	L4-R4	diceM	22.91
lie.v.10-10.weightsNONE.4-4.LLR	5.38448192208	-0.171869407843	L10-R10	weightsNONE	none	L4-R4	dir_lik_stat	32.08
lie.v.10-10.weightsNONE.4-4.pospmi	0.656907309632	-3.20695066208	L10-R10	weightsNONE	none	L4-R4	pospmi	24.08
lie.v.10-10.weightsNONE.4-4.tScore	4.10306114669	-0.298755757274	L10-R10	weightsNONE	none	L4-R4	tScore	27.63
lie.v.10-10.weightsNONE.7-7.diceM	3.0642922168	-5.02724156037	L10-R10	weightsNONE	none	L7-R7	diceM	20.59
lie.v.10-10.weightsNONE.7-7.LLR	5.11591753059	-0.175404398966	L10-R10	weightsNONE	none	L7-R7	dir_lik_stat	30.71
lie.v.10-10.weightsNONE.7-7.pospmi	1.12444105122	-2.83759371058	L10-R10	weightsNONE	none	L7-R7	pospmi	22.27
lie.v.10-10.weightsNONE.7-7.tScore	4.27900576664	-0.2092302369	L10-R10	weightsNONE	none	L7-R7	tScore	25.27
lie.v.20-20.weightsNONE.10-10.diceM	2.60553326568	-4.29416591372	L20-R20	weightsNONE	none	L10-R10	diceM	20.85
lie.v.20-20.weightsNONE.10-10.LLR	4.09292386759	-0.857513426681	L20-R20	weightsNONE	none	L10-R10	dir_lik_stat	29.16
lie.v.20-20.weightsNONE.10-10.pospmi	1.20657962588	-2.65632182433	L20-R20	weightsNONE	none	L10-R10	pospmi	20.54
lie.v.20-20.weightsNONE.10-10.tScore	3.05406913162	-1.2445110255	L20-R20	weightsNONE	none	L10-R10	tScore	23.65
lie.v.20-20.weightsNONE.2-2.diceM	2.17990523057	-4.67197135779	L20-R20	weightsNONE	none	L2-R2	diceM	26.08
lie.v.20-20.weightsNONE.2-2.LLR	6.48834599961	-1.63275773298	L20-R20	weightsNONE	none	L2-R2	dir_lik_stat	34.31
lie.v.20-20.weightsNONE.2-2.pospmi	1.2883212055	-3.33070623582	L20-R20	weightsNONE	none	L2-R2	pospmi	24.38
lie.v.20-20.weightsNONE.2-2.tScore	4.93508386124	-1.2084369475	L20-R20	weightsNONE	none	L2-R2	tScore	31.56
lie.v.20-20.weightsNONE.4-4.diceM	2.9226507295	-4.70656018238	L20-R20	weightsNONE	none	L4-R4	diceM	22.93
lie.v.20-20.weightsNONE.4-4.LLR	4.91216430451	-1.30176113159	L20-R20	weightsNONE	none	L4-R4	dir_lik_stat	31.92
lie.v.20-20.weightsNONE.4-4.pospmi	1.5464949836	-2.44652607689	L20-R20	weightsNONE	none	L4-R4	pospmi	22.16
lie.v.20-20.weightsNONE.4-4.tScore	3.24563638625	-1.21332227642	L20-R20	weightsNONE	none	L4-R4	tScore	26.97
lie.v.20-20.weightsNONE.7-7.diceM	2.06161897753	-4.18786166924	L20-R20	weightsNONE	none	L7-R7	diceM	21.25
lie.v.20-20.weightsNONE.7-7.LLR	4.29156756385	-1.60367035853	L20-R20	weightsNONE	none	L7-R7	dir_lik_stat	29.97
lie.v.20-20.weightsNONE.7-7.pospmi	1.42354378368	-2.30214680228	L20-R20	weightsNONE	none	L7-R7	pospmi	20.97
lie.v.20-20.weightsNONE.7-7.tScore	2.90463591146	-1.13603307982	L20-R20	weightsNONE	none	L7-R7	tScore	23.63
lie.v.40-40.weightsNONE.10-10.diceM	2.86744848391	-3.402703222	L40-R40	weightsNONE	none	L10-R10	diceM	18.84
lie.v.40-40.weightsNONE.10-10.LLR	4.19504868399	-2.06066918084	L40-R40	weightsNONE	none	L10-R10	dir_lik_stat	27.93
lie.v.40-40.weightsNONE.10-10.pospmi	1.91744929043	-2.82683784511	L40-R40	weightsNONE	none	L10-R10	pospmi	18.71
lie.v.40-40.weightsNONE.10-10.tScore	2.63797349728	-1.68819440213	L40-R40	weightsNONE	none	L10-R10	tScore	20.27
lie.v.40-40.weightsNONE.2-2.diceM	3.5853314215	-6.16979194375	L40-R40	weightsNONE	none	L2-R2	diceM	24.00
lie.v.40-40.weightsNONE.2-2.LLR	5.95015945932	-1.88592995627	L40-R40	weightsNONE	none	L2-R2	dir_lik_stat	33.38
lie.v.40-40.weightsNONE.2-2.pospmi	1.92057561544	-4.06793130236	L40-R40	weightsNONE	none	L2-R2	pospmi	22.75
lie.v.40-40.weightsNONE.2-2.tScore	3.70034603495	-2.52143304199	L40-R40	weightsNONE	none	L2-R2	tScore	30.33
lie.v.40-40.weightsNONE.4-4.diceM	3.61054739679	-5.00861053101	L40-R40	weightsNONE	none	L4-R4	diceM	21.40
lie.v.40-40.weightsNONE.4-4.LLR	5.08032187132	-1.71065157859	L40-R40	weightsNONE	none	L4-R4	dir_lik_stat	30.26
lie.v.40-40.weightsNONE.4-4.pospmi	2.12514360128	-3.57026564515	L40-R40	weightsNONE	none	L4-R4	pospmi	19.88
lie.v.40-40.weightsNONE.4-4.tScore	3.08611760689	-2.26782238905	L40-R40	weightsNONE	none	L4-R4	tScore	25.91
lie.v.40-40.weightsNONE.7-7.diceM	3.06130173828	-4.38923641648	L40-R40	weightsNONE	none	L7-R7	diceM	20.15
lie.v.40-40.weightsNONE.7-7.LLR	5.11874510943	-3.01766967125	L40-R40	weightsNONE	none	L7-R7	dir_lik_stat	31.00
lie.v.40-40.weightsNONE.7-7.pospmi	1.67272940321	-3.21569096637	L40-R40	weightsNONE	none	L7-R7	pospmi	18.78
