_id	model.x	model.y	contextWindow	FirstOrderWeighting	BNCweighting	SecondOrderWindow	SecondOrderScore	stress
mind.n.10-10.weightsNONE.10-10.diceM	0.227897778395	-0.0243547970388	L10-R10	weightsNONE	none	L10-R10	diceM	21.44
mind.n.10-10.weightsNONE.10-10.LLR	0.959095036015	0.6877888039	L10-R10	weightsNONE	none	L10-R10	dir_lik_stat	28.91
mind.n.10-10.weightsNONE.10-10.pospmi	0.969529199459	0.409825036084	L10-R10	weightsNONE	none	L10-R10	pospmi	25.04
mind.n.10-10.weightsNONE.10-10.tScore	0.80828066111	0.972484551075	L10-R10	weightsNONE	none	L10-R10	tScore	27.16
mind.n.10-10.weightsNONE.2-2.diceM	0.401866541036	0.134758181966	L10-R10	weightsNONE	none	L2-R2	diceM	27.82
mind.n.10-10.weightsNONE.2-2.LLR	0.455952765863	0.402656698373	L10-R10	weightsNONE	none	L2-R2	dir_lik_stat	41.23
mind.n.10-10.weightsNONE.2-2.pospmi	0.42916348056	0.0385913445675	L10-R10	weightsNONE	none	L2-R2	pospmi	27.38
mind.n.10-10.weightsNONE.2-2.tScore	0.638801688134	1.00000101757	L10-R10	weightsNONE	none	L2-R2	tScore	29.87
mind.n.10-10.weightsNONE.4-4.diceM	0.266783165412	0.96172327177	L10-R10	weightsNONE	none	L4-R4	diceM	25.34
mind.n.10-10.weightsNONE.4-4.LLR	0.340594730735	1.1658255098	L10-R10	weightsNONE	none	L4-R4	dir_lik_stat	31.13
mind.n.10-10.weightsNONE.4-4.pospmi	0.205169008435	0.345863066835	L10-R10	weightsNONE	none	L4-R4	pospmi	26.46
mind.n.10-10.weightsNONE.4-4.tScore	0.0478670061358	-0.0661612419342	L10-R10	weightsNONE	none	L4-R4	tScore	28.49
mind.n.10-10.weightsNONE.7-7.diceM	0.259445841442	0.350147705611	L10-R10	weightsNONE	none	L7-R7	diceM	23.41
mind.n.10-10.weightsNONE.7-7.LLR	0.00402174461961	0.142140534997	L10-R10	weightsNONE	none	L7-R7	dir_lik_stat	29.97
mind.n.10-10.weightsNONE.7-7.pospmi	0.388231989252	0.177977798204	L10-R10	weightsNONE	none	L7-R7	pospmi	25.86
mind.n.10-10.weightsNONE.7-7.tScore	0.0363824127593	0.939844827899	L10-R10	weightsNONE	none	L7-R7	tScore	25.11
mind.n.20-20.weightsNONE.10-10.diceM	0.639151268984	0.063772893591	L20-R20	weightsNONE	none	L10-R10	diceM	20.99
mind.n.20-20.weightsNONE.10-10.LLR	0.0135770127905	0.476902622295	L20-R20	weightsNONE	none	L10-R10	dir_lik_stat	31.61
mind.n.20-20.weightsNONE.10-10.pospmi	0.583076018385	0.450713992865	L20-R20	weightsNONE	none	L10-R10	pospmi	20.62
mind.n.20-20.weightsNONE.10-10.tScore	0.241197570648	0.716666602488	L20-R20	weightsNONE	none	L10-R10	tScore	25.39
mind.n.20-20.weightsNONE.2-2.diceM	0.855363000078	0.394410783643	L20-R20	weightsNONE	none	L2-R2	diceM	27.12
mind.n.20-20.weightsNONE.2-2.LLR	0.433593526767	0.477999795627	L20-R20	weightsNONE	none	L2-R2	dir_lik_stat	41.22
mind.n.20-20.weightsNONE.2-2.pospmi	0.896490871889	0.657378002962	L20-R20	weightsNONE	none	L2-R2	pospmi	25.00
mind.n.20-20.weightsNONE.2-2.tScore	0.783009209692	0.771322741446	L20-R20	weightsNONE	none	L2-R2	tScore	31.88
mind.n.20-20.weightsNONE.4-4.diceM	0.531872218506	0.268241476645	L20-R20	weightsNONE	none	L4-R4	diceM	24.56
