_id	model.x	model.y	contextWindow	FirstOrderWeighting	BNCweighting	SecondOrderWindow	SecondOrderScore	stress
moment.n.10-10.weightsNONE.10-10.diceM	-2.71823650366	7.85752273613	L10-R10	weightsNONE	none	L10-R10	diceM	19.82
moment.n.10-10.weightsNONE.10-10.LLR	0.360252302203	6.11622155256	L10-R10	weightsNONE	none	L10-R10	dir_lik_stat	29.81
moment.n.10-10.weightsNONE.10-10.pospmi	-0.717237069328	8.42480586809	L10-R10	weightsNONE	none	L10-R10	pospmi	23.75
moment.n.10-10.weightsNONE.10-10.tScore	-3.08963311261	6.29880250018	L10-R10	weightsNONE	none	L10-R10	tScore	26.41
moment.n.10-10.weightsNONE.2-2.diceM	2.88334576176	5.10658557474	L10-R10	weightsNONE	none	L2-R2	diceM	25.49
moment.n.10-10.weightsNONE.2-2.LLR	5.67511987286	3.81166676354	L10-R10	weightsNONE	none	L2-R2	dir_lik_stat	35.97
moment.n.10-10.weightsNONE.2-2.pospmi	-4.02052479607	6.87485721769	L10-R10	weightsNONE	none	L2-R2	pospmi	26.11
moment.n.10-10.weightsNONE.2-2.tScore	2.03747332847	4.53651470858	L10-R10	weightsNONE	none	L2-R2	tScore	34.35
moment.n.10-10.weightsNONE.4-4.diceM	0.108516569304	7.14505458759	L10-R10	weightsNONE	none	L4-R4	diceM	23.20
moment.n.10-10.weightsNONE.4-4.LLR	1.37956195867	6.18619874137	L10-R10	weightsNONE	none	L4-R4	dir_lik_stat	33.05
moment.n.10-10.weightsNONE.4-4.pospmi	-3.64723711325	5.64707160977	L10-R10	weightsNONE	none	L4-R4	pospmi	24.61
moment.n.10-10.weightsNONE.4-4.tScore	0.197193763916	4.90312613411	L10-R10	weightsNONE	none	L4-R4	tScore	31.63
moment.n.10-10.weightsNONE.7-7.diceM	-0.383349239915	7.38418610165	L10-R10	weightsNONE	none	L7-R7	diceM	20.19
moment.n.10-10.weightsNONE.7-7.LLR	1.32328446208	5.23968303901	L10-R10	weightsNONE	none	L7-R7	dir_lik_stat	31.06
moment.n.10-10.weightsNONE.7-7.pospmi	-3.28151659225	7.92669679251	L10-R10	weightsNONE	none	L7-R7	pospmi	24.16
moment.n.10-10.weightsNONE.7-7.tScore	0.108836537532	5.72361529549	L10-R10	weightsNONE	none	L7-R7	tScore	26.82
moment.n.20-20.weightsNONE.10-10.diceM	-1.16021747957	6.90357688145	L20-R20	weightsNONE	none	L10-R10	diceM	18.53
moment.n.20-20.weightsNONE.10-10.LLR	-0.374121236444	5.76944206171	L20-R20	weightsNONE	none	L10-R10	dir_lik_stat	30.50
moment.n.20-20.weightsNONE.10-10.pospmi	-2.94455999335	6.08311731514	L20-R20	weightsNONE	none	L10-R10	pospmi	23.38
moment.n.20-20.weightsNONE.10-10.tScore	-1.9932473266	6.39883493103	L20-R20	weightsNONE	none	L10-R10	tScore	24.97
moment.n.20-20.weightsNONE.2-2.diceM	1.39030823179	6.26924732977	L20-R20	weightsNONE	none	L2-R2	diceM	22.05
moment.n.20-20.weightsNONE.2-2.LLR	3.55949719114	6.08243975856	L20-R20	weightsNONE	none	L2-R2	dir_lik_stat	35.18
moment.n.20-20.weightsNONE.2-2.pospmi	-3.47183994766	5.7178017184	L20-R20	weightsNONE	none	L2-R2	pospmi	25.39
