_id	model.x	model.y	contextWindow	FirstOrderWeighting	BNCweighting	SecondOrderWindow	SecondOrderScore	stress
operate.v.10-10.weightsNONE.10-10.diceM	0.444122417374	0.46322057623	L10-R10	weightsNONE	none	L10-R10	diceM	22.26
operate.v.10-10.weightsNONE.10-10.LLR	0.306803527909	0.271384791698	L10-R10	weightsNONE	none	L10-R10	dir_lik_stat	28.40
operate.v.10-10.weightsNONE.10-10.pospmi	-0.168520799068	0.497641926217	L10-R10	weightsNONE	none	L10-R10	pospmi	24.84
operate.v.10-10.weightsNONE.10-10.tScore	0.225501518388	1.08465880474	L10-R10	weightsNONE	none	L10-R10	tScore	26.50
operate.v.10-10.weightsNONE.2-2.diceM	0.570256858099	0.490690678529	L10-R10	weightsNONE	none	L2-R2	diceM	24.89
operate.v.10-10.weightsNONE.2-2.LLR	0.410659778143	0.472023012401	L10-R10	weightsNONE	none	L2-R2	dir_lik_stat	32.36
operate.v.10-10.weightsNONE.2-2.pospmi	0.70546459039	1.10280902771	L10-R10	weightsNONE	none	L2-R2	pospmi	26.74
operate.v.10-10.weightsNONE.2-2.tScore	0.816281716917	0.358824446986	L10-R10	weightsNONE	none	L2-R2	tScore	30.29
operate.v.10-10.weightsNONE.4-4.diceM	0.31651892859	0.418462043979	L10-R10	weightsNONE	none	L4-R4	diceM	22.70
operate.v.10-10.weightsNONE.4-4.LLR	0.470933596089	0.629579266721	L10-R10	weightsNONE	none	L4-R4	dir_lik_stat	30.84
operate.v.10-10.weightsNONE.4-4.pospmi	0.946665316251	0.221124995889	L10-R10	weightsNONE	none	L4-R4	pospmi	25.06
operate.v.10-10.weightsNONE.4-4.tScore	0.851704588631	0.177379464196	L10-R10	weightsNONE	none	L4-R4	tScore	28.21
operate.v.10-10.weightsNONE.7-7.diceM	0.67893785585	0.904516327876	L10-R10	weightsNONE	none	L7-R7	diceM	21.48
operate.v.10-10.weightsNONE.7-7.LLR	0.227833332726	0.677747601517	L10-R10	weightsNONE	none	L7-R7	dir_lik_stat	30.33
operate.v.10-10.weightsNONE.7-7.pospmi	0.276635277147	-0.0888325047359	L10-R10	weightsNONE	none	L7-R7	pospmi	24.75
operate.v.10-10.weightsNONE.7-7.tScore	0.215015986737	-0.0413659237502	L10-R10	weightsNONE	none	L7-R7	tScore	26.20
operate.v.20-20.weightsNONE.10-10.diceM	0.853309101797	0.0871311117022	L20-R20	weightsNONE	none	L10-R10	diceM	19.16
operate.v.20-20.weightsNONE.10-10.LLR	0.363436868322	0.114988887158	L20-R20	weightsNONE	none	L10-R10	dir_lik_stat	29.16
operate.v.20-20.weightsNONE.10-10.pospmi	0.176861385781	0.0127915138658	L20-R20	weightsNONE	none	L10-R10	pospmi	23.57
operate.v.20-20.weightsNONE.10-10.tScore	0.204098680613	0.278790615924	L20-R20	weightsNONE	none	L10-R10	tScore	25.66
operate.v.20-20.weightsNONE.2-2.diceM	0.445329836001	0.699335148529	L20-R20	weightsNONE	none	L2-R2	diceM	22.73
operate.v.20-20.weightsNONE.2-2.LLR	0.633578495294	0.267406733305	L20-R20	weightsNONE	none	L2-R2	dir_lik_stat	33.40
operate.v.20-20.weightsNONE.2-2.pospmi	0.898997544874	0.736318720642	L20-R20	weightsNONE	none	L2-R2	pospmi	26.02
operate.v.20-20.weightsNONE.2-2.tScore	0.55076175474	0.740679973804	L20-R20	weightsNONE	none	L2-R2	tScore	30.05
operate.v.20-20.weightsNONE.4-4.diceM	0.751598617449	0.639025620578	L20-R20	weightsNONE	none	L4-R4	diceM	20.74
operate.v.20-20.weightsNONE.4-4.LLR	0.342378091206	0.826201242402	L20-R20	weightsNONE	none	L4-R4	dir_lik_stat	31.42
operate.v.20-20.weightsNONE.4-4.pospmi	0.965980964697	0.928464625839	L20-R20	weightsNONE	none	L4-R4	pospmi	25.82
operate.v.20-20.weightsNONE.4-4.tScore	0.192851146233	0.392507017271	L20-R20	weightsNONE	none	L4-R4	tScore	28.91
operate.v.20-20.weightsNONE.7-7.diceM	0.779899229416	0.308416575927	L20-R20	weightsNONE	none	L7-R7	diceM	20.36
operate.v.20-20.weightsNONE.7-7.LLR	0.800103483054	0.745601678992	L20-R20	weightsNONE	none	L7-R7	dir_lik_stat	29.69
operate.v.20-20.weightsNONE.7-7.pospmi	0.125476806738	0.895103287852	L20-R20	weightsNONE	none	L7-R7	pospmi	23.82
operate.v.20-20.weightsNONE.7-7.tScore	0.142172552904	0.502306902918	L20-R20	weightsNONE	none	L7-R7	tScore	26.76
operate.v.40-40.weightsNONE.10-10.diceM	0.393555101168	-0.0556210751861	L40-R40	weightsNONE	none	L10-R10	diceM	18.91
operate.v.40-40.weightsNONE.10-10.LLR	1.11106885532	0.19120365902	L40-R40	weightsNONE	none	L10-R10	dir_lik_stat	28.35
operate.v.40-40.weightsNONE.10-10.pospmi	0.277005019224	0.943188919029	L40-R40	weightsNONE	none	L10-R10	pospmi	20.78
operate.v.40-40.weightsNONE.10-10.tScore	0.0130587690572	0.800502108398	L40-R40	weightsNONE	none	L10-R10	tScore	22.68
operate.v.40-40.weightsNONE.2-2.diceM	0.496883887131	0.427907790849	L40-R40	weightsNONE	none	L2-R2	diceM	19.59
operate.v.40-40.weightsNONE.2-2.LLR	0.838787931047	0.533884993663	L40-R40	weightsNONE	none	L2-R2	dir_lik_stat	32.09
operate.v.40-40.weightsNONE.2-2.pospmi	-0.100185828272	0.465995057151	L40-R40	weightsNONE	none	L2-R2	pospmi	23.72
operate.v.40-40.weightsNONE.2-2.tScore	0.65348099577	0.782753093614	L40-R40	weightsNONE	none	L2-R2	tScore	30.62
operate.v.40-40.weightsNONE.4-4.diceM	0.771847534575	0.427573185386	L40-R40	weightsNONE	none	L4-R4	diceM	19.00
