_id	model.x	model.y	contextWindow	FirstOrderWeighting	BNCweighting	SecondOrderWindow	SecondOrderScore	stress
reveal.v.10-10.weightsNONE.10-10.diceM	0.84929408185	0.740786145397	L10-R10	weightsNONE	none	L10-R10	diceM	17.88
reveal.v.10-10.weightsNONE.10-10.LLR	1.01988053988	0.793125526494	L10-R10	weightsNONE	none	L10-R10	LLR	26.77
reveal.v.10-10.weightsNONE.10-10.pospmi	0.408398842497	1.24997039965	L10-R10	weightsNONE	none	L10-R10	pospmi	19.78
reveal.v.10-10.weightsNONE.10-10.tScore	-0.0949668871171	0.822375103983	L10-R10	weightsNONE	none	L10-R10	tScore	23.71
reveal.v.10-10.weightsNONE.2-2.diceM	0.450187476342	0.243531428784	L10-R10	weightsNONE	none	L2-R2	diceM	23.91
reveal.v.10-10.weightsNONE.2-2.LLR	0.761398006031	0.457599999488	L10-R10	weightsNONE	none	L2-R2	LLR	34.08
reveal.v.10-10.weightsNONE.2-2.pospmi	-0.223245499928	0.563603158747	L10-R10	weightsNONE	none	L2-R2	pospmi	22.38
reveal.v.10-10.weightsNONE.2-2.tScore	0.608495636576	0.0771085214964	L10-R10	weightsNONE	none	L2-R2	tScore	30.34
reveal.v.10-10.weightsNONE.4-4.diceM	0.474601090215	0.668093642147	L10-R10	weightsNONE	none	L4-R4	diceM	19.65
reveal.v.10-10.weightsNONE.4-4.LLR	0.539756056804	0.473643491891	L10-R10	weightsNONE	none	L4-R4	LLR	41.27
reveal.v.10-10.weightsNONE.4-4.pospmi	-0.138348639164	-0.00356359356373	L10-R10	weightsNONE	none	L4-R4	pospmi	21.13
reveal.v.10-10.weightsNONE.4-4.tScore	0.46558753689	0.528213338623	L10-R10	weightsNONE	none	L4-R4	tScore	41.04
reveal.v.10-10.weightsNONE.7-7.diceM	0.747913876571	0.747660588796	L10-R10	weightsNONE	none	L7-R7	diceM	18.57
reveal.v.10-10.weightsNONE.7-7.LLR	0.947479023862	0.617489019574	L10-R10	weightsNONE	none	L7-R7	LLR	28.27
reveal.v.10-10.weightsNONE.7-7.pospmi	-0.234434407891	0.717488302258	L10-R10	weightsNONE	none	L7-R7	pospmi	19.92
reveal.v.10-10.weightsNONE.7-7.tScore	-0.0387024198953	-0.0433759898048	L10-R10	weightsNONE	none	L7-R7	tScore	24.78
reveal.v.20-20.weightsNONE.10-10.diceM	0.741151001761	0.882638656671	L20-R20	weightsNONE	none	L10-R10	diceM	18.09
reveal.v.20-20.weightsNONE.10-10.LLR	0.401405511297	0.451309328377	L20-R20	weightsNONE	none	L10-R10	LLR	41.31
reveal.v.20-20.weightsNONE.10-10.pospmi	-0.379210947127	0.564419591848	L20-R20	weightsNONE	none	L10-R10	pospmi	18.99
reveal.v.20-20.weightsNONE.10-10.tScore	0.0448359117295	0.91877142542	L20-R20	weightsNONE	none	L10-R10	tScore	25.24
reveal.v.20-20.weightsNONE.2-2.diceM	0.495901565516	0.267068349022	L20-R20	weightsNONE	none	L2-R2	diceM	23.10
reveal.v.20-20.weightsNONE.2-2.LLR	0.483777418162	0.0495886279283	L20-R20	weightsNONE	none	L2-R2	LLR	33.11
reveal.v.20-20.weightsNONE.2-2.pospmi	-0.214104012783	0.331319927913	L20-R20	weightsNONE	none	L2-R2	pospmi	23.11
reveal.v.20-20.weightsNONE.2-2.tScore	0.408506429891	0.407500374976	L20-R20	weightsNONE	none	L2-R2	tScore	40.51
reveal.v.20-20.weightsNONE.4-4.diceM	0.260618460701	0.569344347064	L20-R20	weightsNONE	none	L4-R4	diceM	20.66
reveal.v.20-20.weightsNONE.4-4.LLR	0.609442864781	-0.0641116172925	L20-R20	weightsNONE	none	L4-R4	LLR	30.46
reveal.v.20-20.weightsNONE.4-4.pospmi	0.995214469745	-0.130860369551	L20-R20	weightsNONE	none	L4-R4	pospmi	21.87
reveal.v.20-20.weightsNONE.4-4.tScore	1.2101698242	0.329374165909	L20-R20	weightsNONE	none	L4-R4	tScore	26.42
reveal.v.20-20.weightsNONE.7-7.diceM	0.169763954494	0.181265204599	L20-R20	weightsNONE	none	L7-R7	diceM	19.09
reveal.v.20-20.weightsNONE.7-7.LLR	0.5679798337	1.04504187504	L20-R20	weightsNONE	none	L7-R7	LLR	28.62
reveal.v.20-20.weightsNONE.7-7.pospmi	0.147769320852	1.21017905744	L20-R20	weightsNONE	none	L7-R7	pospmi	20.35
reveal.v.20-20.weightsNONE.7-7.tScore	1.18283745747	0.635818952436	L20-R20	weightsNONE	none	L7-R7	tScore	23.78
reveal.v.40-40.weightsNONE.10-10.diceM	0.0496085035083	0.269899313383	L40-R40	weightsNONE	none	L10-R10	diceM	17.90
reveal.v.40-40.weightsNONE.10-10.LLR	0.171734629086	-2.05452466878e-05	L40-R40	weightsNONE	none	L10-R10	LLR	27.07
reveal.v.40-40.weightsNONE.10-10.pospmi	1.03637491531	-0.0165686345219	L40-R40	weightsNONE	none	L10-R10	pospmi	19.25
reveal.v.40-40.weightsNONE.10-10.tScore	0.922382199954	0.994967825538	L40-R40	weightsNONE	none	L10-R10	tScore	21.62
reveal.v.40-40.weightsNONE.2-2.diceM	0.606548412837	0.272419865095	L40-R40	weightsNONE	none	L2-R2	diceM	21.13
reveal.v.40-40.weightsNONE.2-2.LLR	0.522034781097	0.363560059193	L40-R40	weightsNONE	none	L2-R2	LLR	41.28
reveal.v.40-40.weightsNONE.2-2.pospmi	0.11838077238	-0.130834924838	L40-R40	weightsNONE	none	L2-R2	pospmi	21.94
reveal.v.40-40.weightsNONE.2-2.tScore	0.539856754718	0.856889592789	L40-R40	weightsNONE	none	L2-R2	tScore	30.36
reveal.v.40-40.weightsNONE.4-4.diceM	0.31340276354	0.695212910546	L40-R40	weightsNONE	none	L4-R4	diceM	19.28
