_id	model.x	model.y	contextWindow	FirstOrderWeighting	BNCweighting	SecondOrderWindow	SecondOrderScore	stress
road.n.10-10.weightsNONE.10-10.diceM	0.141536291018	0.9062646369	L10-R10	weightsNONE	none	L10-R10	diceM	18.14
road.n.10-10.weightsNONE.10-10.LLR	-0.100221514664	0.497541949084	L10-R10	weightsNONE	none	L10-R10	LLR	30.95
road.n.10-10.weightsNONE.10-10.pospmi	0.790224386963	1.11720907316	L10-R10	weightsNONE	none	L10-R10	pospmi	24.64
road.n.10-10.weightsNONE.10-10.tScore	0.284326370675	1.1812685524	L10-R10	weightsNONE	none	L10-R10	tScore	26.99
road.n.10-10.weightsNONE.2-2.diceM	0.520256760956	0.375284571992	L10-R10	weightsNONE	none	L2-R2	diceM	21.20
road.n.10-10.weightsNONE.2-2.LLR	0.510189906111	0.541527765915	L10-R10	weightsNONE	none	L2-R2	LLR	34.11
road.n.10-10.weightsNONE.2-2.pospmi	1.00684403656	0.158243170588	L10-R10	weightsNONE	none	L2-R2	pospmi	26.20
road.n.10-10.weightsNONE.2-2.tScore	0.873030439234	1.03157541831	L10-R10	weightsNONE	none	L2-R2	tScore	31.41
road.n.10-10.weightsNONE.4-4.diceM	0.222325681	0.720728559025	L10-R10	weightsNONE	none	L4-R4	diceM	19.62
road.n.10-10.weightsNONE.4-4.LLR	0.441125653278	0.280623168548	L10-R10	weightsNONE	none	L4-R4	LLR	32.14
road.n.10-10.weightsNONE.4-4.pospmi	0.687120183406	-0.072429723771	L10-R10	weightsNONE	none	L4-R4	pospmi	25.95
road.n.10-10.weightsNONE.4-4.tScore	-0.069049354586	0.815954832519	L10-R10	weightsNONE	none	L4-R4	tScore	28.98
road.n.10-10.weightsNONE.7-7.diceM	0.806473938434	0.51808507871	L10-R10	weightsNONE	none	L7-R7	diceM	18.08
road.n.10-10.weightsNONE.7-7.LLR	0.433142713873	1.13422291094	L10-R10	weightsNONE	none	L7-R7	LLR	31.41
road.n.10-10.weightsNONE.7-7.pospmi	1.14518954111	0.706776740322	L10-R10	weightsNONE	none	L7-R7	pospmi	25.43
road.n.10-10.weightsNONE.7-7.tScore	-0.0364869447946	1.04640975701	L10-R10	weightsNONE	none	L7-R7	tScore	27.60
road.n.20-20.weightsNONE.10-10.diceM	0.13587531385	-0.0387832113721	L20-R20	weightsNONE	none	L10-R10	diceM	18.21
road.n.20-20.weightsNONE.10-10.LLR	0.0754390578384	0.46809660128	L20-R20	weightsNONE	none	L10-R10	LLR	29.81
