_id	model.x	model.y	contextWindow	FirstOrderWeighting	BNCweighting	SecondOrderWindow	SecondOrderScore	stress
threat.n.10-10.weightsNONE.10-10.diceM	-5.60388336364	1.05157312977	L10-R10	weightsNONE	none	L10-R10	diceM	16.54
threat.n.10-10.weightsNONE.10-10.LLR	6.57616272374	-0.61859141231	L10-R10	weightsNONE	none	L10-R10	LLR	31.07
threat.n.10-10.weightsNONE.10-10.pospmi	-1.86823168851	3.57890560691	L10-R10	weightsNONE	none	L10-R10	pospmi	25.36
threat.n.10-10.weightsNONE.10-10.tScore	-1.62582016675	-2.61922879546	L10-R10	weightsNONE	none	L10-R10	tScore	28.51
threat.n.10-10.weightsNONE.2-2.diceM	-6.27159840795	-0.10177557201	L10-R10	weightsNONE	none	L2-R2	diceM	22.40
threat.n.10-10.weightsNONE.2-2.LLR	-2.94366056257	-4.38406754213	L10-R10	weightsNONE	none	L2-R2	LLR	34.12
threat.n.10-10.weightsNONE.2-2.pospmi	-2.95364371578	-1.90590865491	L10-R10	weightsNONE	none	L2-R2	pospmi	27.75
threat.n.10-10.weightsNONE.2-2.tScore	-0.89628833694	-3.24006870863	L10-R10	weightsNONE	none	L2-R2	tScore	30.79
threat.n.10-10.weightsNONE.4-4.diceM	-4.64529941852	2.50639756881	L10-R10	weightsNONE	none	L4-R4	diceM	19.86
threat.n.10-10.weightsNONE.4-4.LLR	-0.723332490856	-3.94697710512	L10-R10	weightsNONE	none	L4-R4	LLR	32.80
threat.n.10-10.weightsNONE.4-4.pospmi	-2.05322906368	-1.98570224469	L10-R10	weightsNONE	none	L4-R4	pospmi	26.05
threat.n.10-10.weightsNONE.4-4.tScore	-0.41443967976	-3.64869734704	L10-R10	weightsNONE	none	L4-R4	tScore	29.38
threat.n.10-10.weightsNONE.7-7.diceM	-5.03621854122	1.36145123462	L10-R10	weightsNONE	none	L7-R7	diceM	18.87
threat.n.10-10.weightsNONE.7-7.LLR	-0.6911023964	-3.50838219619	L10-R10	weightsNONE	none	L7-R7	LLR	31.60
threat.n.10-10.weightsNONE.7-7.pospmi	-2.04120212	-1.38184622932	L10-R10	weightsNONE	none	L7-R7	pospmi	25.10
threat.n.10-10.weightsNONE.7-7.tScore	-1.02369870616	-2.76300534888	L10-R10	weightsNONE	none	L7-R7	tScore	28.08
threat.n.20-20.weightsNONE.10-10.diceM	-3.68922940283	-0.499924168248	L20-R20	weightsNONE	none	L10-R10	diceM	22.38
threat.n.20-20.weightsNONE.10-10.LLR	0.914364467482	-5.42091230198	L20-R20	weightsNONE	none	L10-R10	LLR	31.48
threat.n.20-20.weightsNONE.10-10.pospmi	-0.143087214515	-2.70471050727	L20-R20	weightsNONE	none	L10-R10	pospmi	24.24
threat.n.20-20.weightsNONE.10-10.tScore	1.59462304475	-4.82902989209	L20-R20	weightsNONE	none	L10-R10	tScore	27.46
threat.n.20-20.weightsNONE.2-2.diceM	-4.05854104122	-6.74595043499	L20-R20	weightsNONE	none	L2-R2	diceM	23.52
threat.n.20-20.weightsNONE.2-2.LLR	2.36805228449	-6.17141765493	L20-R20	weightsNONE	none	L2-R2	LLR	33.67
threat.n.20-20.weightsNONE.2-2.pospmi	2.36133409036	-5.0012489555	L20-R20	weightsNONE	none	L2-R2	pospmi	26.08
threat.n.20-20.weightsNONE.2-2.tScore	0.707317243369	-4.33555767403	L20-R20	weightsNONE	none	L2-R2	tScore	31.71
threat.n.20-20.weightsNONE.4-4.diceM	-3.59738851938	-4.61285468663	L20-R20	weightsNONE	none	L4-R4	diceM	21.34
threat.n.20-20.weightsNONE.4-4.LLR	0.306094793778	-7.5201113405	L20-R20	weightsNONE	none	L4-R4	LLR	32.85
threat.n.20-20.weightsNONE.4-4.pospmi	2.120605073	-2.96352343062	L20-R20	weightsNONE	none	L4-R4	pospmi	26.13
threat.n.20-20.weightsNONE.4-4.tScore	0.699188070707	-3.15430207313	L20-R20	weightsNONE	none	L4-R4	tScore	29.35
threat.n.20-20.weightsNONE.7-7.diceM	-5.13798739048	-3.02492765679	L20-R20	weightsNONE	none	L7-R7	diceM	22.31
threat.n.20-20.weightsNONE.7-7.LLR	-0.255237437692	-7.12971913763	L20-R20	weightsNONE	none	L7-R7	LLR	32.11
threat.n.20-20.weightsNONE.7-7.pospmi	0.957688796142	-3.67966760236	L20-R20	weightsNONE	none	L7-R7	pospmi	25.16
threat.n.20-20.weightsNONE.7-7.tScore	0.083553326829	-3.47960938178	L20-R20	weightsNONE	none	L7-R7	tScore	28.42
threat.n.40-40.weightsNONE.10-10.diceM	-4.9534316932	-1.93214170443	L40-R40	weightsNONE	none	L10-R10	diceM	21.68
