token	label	LeNC44.L1LLRx5.x	LeNC44.L1LLRx5.y	LeNC77.L1LLR.x	LeNC77.L1LLR.y	LeNC44.L1LLR.x	LeNC44.L1LLR.y	LeNC77.L1LLRx5.x	LeNC77.L1LLRx5.y	LeNC44.ppmi.x	LeNC44.ppmi.y	LeNC77.ppmi.x	LeNC77.ppmi.y	text	LeNC44.L1LLRx5.maxW	LeNC77.L1LLR.maxW	LeNC44.L1LLR.maxW	LeNC77.L1LLRx5.maxW	LeNC44.ppmi.maxW	LeNC77.ppmi.maxW
prof/noun/NB_20040218_01/17469	a	1.52005615686	1.73624930873	3.38278578024	2.03850137794	1.49189870879	0.166887832521	-0.694517376544	-1.57354032686	0.34457586645	-3.23156777758	4.91257090755	-1.20664028848	"Een <font color=""red"">prof</font> die aan twintig of aan vierhonderd studenten lesgeeft moet op een verschillende manier beoordeeld worden . """	6.67	5.39	5.07	6.99	2.72	2.57
prof/noun/NB_20040303_01/91076	a	3.65617422339	1.75595783894	0.843142264189	5.00847556091	2.39101600688	1.12452167499	2.22250794567	-2.31023174688	3.30335339744	-1.25464369132	2.30490635581	-3.37397321144	"Toch nuanceert hij onmiddellijk die vertrouwensrol : "" Je moet niet denken dat ze je als gelijke beschouwen , want er blijft die terughoudendheid tegenover een prof. Studenten gaan mekaar veel meer toevertrouwen dan hun <font color=""red"">prof</font> en dat zal altijd wel zo blijven ."	7.79	6.86	6.18	8.47	1.09	1.96
prof/noun/LN_20010528_01/128128	a	-0.919093437161	0.919064239365	-1.71426882818	-1.15065851208	0.255858279324	-0.167943365782	-2.87362166433	0.0482659566465	-1.41558966367	-0.529187819168	3.58352359293	1.81531804704	"van de <font color=""red"">prof</font>"	7.27	5.1	5.66	6.71	0.8	0.51
prof/noun/DS_20031210_01/28276	a	0.395268133525	-1.64974824575	4.00654937039	4.50675199987	-0.10047219912	-0.0759935146167	3.29393114987	-2.21134688126	2.70153504986	-5.16380988206	2.5036448388	-3.13307094965	""" Vooral de <font color=""red"">proffen</font> Oude Geschiedenis vinden dit jammer ."	5.53	3.03	3.93	4.6	0.75	0.68
prof/noun/DT_20050618_01/53063	a	0.0892522807189	-1.25668596125	4.82212341258	1.24511514439	0.4346104175	-0.718849845481	-1.25123717732	-1.90439762411	-1.36216490675	-5.32133659249	7.12076873056	-0.678767234358	"Vlerick introduceerde het ' Socratic teaching ' , waarbij de <font color=""red"">prof</font> zijn studenten continu vragen stelt ."	6.67	5.39	5.07	6.99	2.72	2.57
prof/noun/volkskrant19991108/2878	a	2.51487067483	0.466827198519	1.33702140006	3.41937828931	1.55356184103	0.738381400239	1.69546830958	-1.20215723998	2.79739197325	-1.23632283441	1.01402067214	-1.95215746478	"De <font color=""red"">prof</font> vindt het allemaal best maar in zijn lab zijn geen faciliteiten ."	7.79	6.86	6.18	8.47	1.69	1.38
prof/noun/volkskrant19991029/77425	a	0.276656729027	-1.20726186003	4.95864586712	4.47538515096	0.0288304611178	-0.193047918601	-2.1635822159	-3.01578883727	-2.08171994722	-2.51793559419	5.64206299893	0.73950577161	"Waalse politici omarmden de <font color=""red"">prof</font> gretig ."	5.53	2.55	3.93	4.1	0.66	0.59
prof/noun/nrc20040529/59908	a	2.04005384816	-1.61123181131	4.44868327542	7.25197648777	1.20006435023	-0.53361214046	0.795821590558	-5.15874139791	-3.68719260994	-7.40237713196	10.7886452936	-3.02325563853	"De <font color=""red"">proffen</font> zijn het opmerkelijk eens over de richting : de universiteit moet elitair zijn ."	6.41	4.71	4.8	6.31	2.01	1.92
prof/noun/NB_20040211_01/62764	a	1.41938936913	-4.15263673631	8.52562951936	-3.59386309377	-0.0920481988429	2.45131397163	-6.40027536565	1.36611487866	-6.5934267201	-1.3882819168	5.47099894985	6.32060560039	"BV's als Eveline Hoste , Joyce De Troch of bekende advocaten liepen ook al langs , zegt Gillez : "" Voor het eerst richten we een VIP-lounge in voor genodigden , <font color=""red"">proffen</font> en oud-studenten ."	3.86	2.65	2.34	4.2	0.78	0.41
prof/noun/LN_19990904_01/130675	a	-2.40908924531	2.05621670677	-3.96907621062	-1.86253793451	0.812816731132	-1.20833856548	-4.1857860156	0.262751462844	-2.72838775454	-1.12320286794	4.30500851466	3.00843973239	"Leuvense <font color=""red"">prof</font> onderzoekt hart van Lodewijk XVIILEUVEN - Het kinderhart dat wordt toegeschreven aan kroonprins Lodewijk XVII , komt naar Leuven ."	7.27	6.51	5.66	8.12	3.79	4.41
