topicID	V1	V2	cont1	cont2	cont3	cont4	cont5	size
topic00	-0.1040025749	0.0579127165	auto/noun	Schumacher/name	versnelling/noun	schakel/verb	toer/noun	2376
topic01	-0.1185061011	-0.0343217093	auto/noun	ongeval/noun	Jordan/name	Ferrari/name	type/noun	434
topic02	0.0442354714	0.018969108	ontwikkeling/noun	ontwikkel/verb	motor/noun	machine/noun	draaiend/adj	1133
topic03	0.2955158686	-0.0253247834	economisch/adj	economie/noun	groei/noun	export/noun	wereldeconomie/noun	603
topic04	-0.0819922892	-0.1811459169	pk/noun	liter/noun	direct/adj	dezelfde/det	benzine_motor/noun	435
topic05	-0.0396218507	-0.0802301957	pk/noun	vermogen/noun	auto/noun	Mercedes/name	Fazer/noun	448
topic06	0.0121222942	-0.0608728657	brandstof/noun	lawaai/noun	auto/noun	diesel/noun	krachtig/adj	303
topic07	0.0586306108	0.1076465891	vlieg/verb	bocht/noun	start/verb	vliegtuig/noun	passagier/noun	343
topic08	-0.0524736649	-0.0853230667	auto/noun	rij/verb	haal_in/verb	pk/noun	lever/verb	433
topic09	0.1039919458	0.0987465304	Frans-Duits/adj	woestijn/noun	integratie/noun	functioneer/verb	vol/adj	482
topic10	0.0671767429	-0.0732184399	pomp/noun	waardoor/pp	motor/noun	proef_draai/verb	kracht_bron/noun	378
topic11	-0.0442544909	0.0249953572	auto/noun	fiets/noun	brand/fixed	rit/noun	Ford/name	569
topic12	-0.0864775184	-0.0825770249	auto/noun	aan/adj	de/adj	licht/adj	praat/adj	494
topic13	-0.0487614391	-0.024577506	BMW/name	Ford/name	produceer/verb	auto/noun	Renault/name	435
topic14	-0.0487425332	0.0879671713	draai/verb	motor/noun	rij/verb	race/noun	Ducati/name	480
topic15	-0.0638048884	0.0468053835	rij/verb	boot/noun	Honda/name	coureur/noun	motor/noun	431
topic16	0.0807220488	-0.0317087549	motor/noun	machine/noun	Airbus/name	sla_af/verb	Dakar/name	398
topic17	0.1201952802	-0.0561462297	vliegtuig/noun	Boeing/name	toestel/noun	technologie/noun	onderdeel/noun	539
topic18	-0.0156200421	0.0322333332	passie/noun	race/noun	toestel/noun	snelheid/noun	auto/noun	823
topic19	-0.0312834242	-0.1541941573	liter/noun	merk/noun	lever/verb	Harley/name	pk/noun	759
topic20	0.0292278157	-0.0252669635	achterop/prep	voertuig/noun	motorfiets/noun	wiel/noun	kilo/noun	573
topic21	-0.090685967	0.0169851199	achter/prep	compleet/adj	sportief/adj	km/u/noun	auto/noun	703
topic22	-0.0104248764	0.0996290457	je/det	motor/noun	rij/verb	bouw/verb	herstel/noun	606
topic23	0.0106429849	0.0233737445	kapot/adj	auto/noun	toestel/noun	vleugel/noun	motor/noun	452
topic24	-0.1501871981	0.1003929085	koop/verb	band/noun	rij/verb	coureur/noun	Spanjaard/noun	745
topic25	0.0196454814	0.0032907293	stil/adj	schadelijk/adj	motor/noun	uitstoot/noun	gas/noun	333
topic26	-0.0182720425	-0.0421561719	file/noun	auto/noun	race/noun	koop/verb	Volkswagen/name	321
topic27	-0.0118239689	0.0197094574	zwaar/adj	rij/verb	modern/adj	auto/noun	motor/noun	387
topic28	0.247045331	0.0594940337	wereldeconomie/noun	groei/noun	innovatie/noun	keuze/noun	Toyota/name	815
topic29	-0.0722170056	0.1589125575	rij/verb	snelheid/noun	te/adj	koop/adj	kracht/noun	752
